职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求
人工智能研究员,人工智能,30000.0,深圳旭宏医疗科技有限公司,深圳,0,硕士,
自然语言处理算法专家-智能对话,人工智能,22500.0,大鱼快乐有限公司,北京,3,本科,
人工智能总监,人工智能,65000.0,光合新知（北京）科技有限公司,北京,5,本科,
人工智能开发工程师,人工智能,32500.0,上海科络达云软件技术有限公司,上海,3,本科,
"人工智能开发工程师(Spark, Scala)",人工智能,24000.0,杭州睿拓智能科技有限公司,杭州,0,不限,
人工智能（架构方向）,人工智能,50000.0,中信银行股份有限公司信用卡中心,深圳,5,本科,
人工智能研发工程师,人工智能,30000.0,北京泛钛客科技有限公司,北京,0,本科,
人工智能开发工程师,人工智能,22500.0,北京北大软件工程股份有限公司,北京,1,本科,
人工智能咨询,人工智能,45000.0,上海勃池信息技术有限公司,上海,5,硕士,
HAK人工智能与机器学习高级工程师,人工智能,35000.0,顺丰科技有限公司,深圳,5,硕士,
人工智能研发工程师,人工智能,12000.0,中国信息通信研究院,南京,0,硕士,
人工智能岗（深度学习方向）,人工智能,37500.0,中信银行股份有限公司信用卡中心,深圳,3,本科,
人工智能及大数据研发工程师,人工智能,22500.0,建信金融科技有限责任公司,武汉,0,本科,
人工智能研发工程师,人工智能,22500.0,珠海金融投资控股集团有限公司,深圳,3,本科,
人工智能话术设计,人工智能,6500.0,杭州一知智能科技有限公司,杭州,1,本科,
人工智能与机器学习实习生岗（金融方向）,人工智能,9000.0,上海蝶威智能科技有限公司,上海,0,本科,
人工智能/医学图像算法（ECG心电图方向）,人工智能,30000.0,杭州脉流科技有限公司,杭州,3,硕士,
人工智能高级工程师,人工智能,25000.0,深圳市尚游网络科技有限公司,深圳,3,本科,
人工智能研究员,人工智能,13500.0,五竹科技（天津）有限公司,北京,1,本科,
产品经理（人工智能）,人工智能,22500.0,北京捷通华声科技股份有限公司,北京,3,本科,
人工智能产品运营,人工智能,15000.0,竹间智能科技（上海）有限公司,深圳,0,本科,
人工智能产品经理,人工智能,22500.0,杭州艾耕科技有限公司,杭州,1,硕士,
人工智能训练师,人工智能,4000.0,成都晓多科技有限公司,成都,0,不限,
人工智能产品经理,人工智能,16500.0,成都未至科技有限公司,成都,5,本科,
人工智能岗(NLP方向),人工智能,30000.0,中信银行股份有限公司信用卡中心,深圳,3,硕士,
人工智能算法方向,人工智能,52500.0,北京纳通医疗技术有限公司,北京,0,硕士,
智能对话-自然语言处理研究员,人工智能,30000.0,北京搜狗科技发展有限公司,北京,3,硕士,
人工智能助理研究员,人工智能,19000.0,北京锐安科技有限公司,北京,0,硕士,
GIS+人工智能讲师,人工智能,26500.0,北京八维研修学院,北京,3,本科,
作者（人工智能）,人工智能,10500.0,北京亿欧网盟科技有限公司,深圳,1,本科,
人工智能产品经理,人工智能,30000.0,竹间智能科技（上海）有限公司,上海,3,本科,
人工智能工程师,人工智能,11500.0,江苏激扬软件有限公司,南京,1,本科,
智能音箱/语音产品经理,人工智能,20000.0,广东美的制冷设备有限公司,广州,3,不限,
人工智能产品经理,人工智能,32500.0,仟金顶网络科技有限公司,杭州,3,本科,
销售总监（人工智能）,人工智能,45000.0,上海天壤智能科技有限公司,上海,1,本科,
产品经理（人工智能）,人工智能,26000.0,广州小狗机器人技术有限公司北京分公司,北京,3,本科,
人工智能学科负责人,人工智能,45000.0,北京小象科技有限公司,北京,3,硕士,
人工智能工程师-NLP,人工智能,22500.0,浙江浙大网新中研软件有限公司,杭州,0,本科,
人工智能系统架构师,人工智能,55000.0,连尚（北京）网络科技有限公司,北京,5,本科,
人工智能训练师,人工智能,5500.0,上海慧计信息技术有限公司,上海,0,大专,
人工智能产品经理,人工智能,22500.0,上海乐言信息科技有限公司,上海,3,本科,
人工智能系统研发工程师,人工智能,50000.0,连尚（北京）网络科技有限公司,北京,5,本科,
人工智能讲师,人工智能,22500.0,慧科教育科技集团有限公司,北京,3,本科,
人工智能工程师-语音方向,人工智能,22500.0,阳光保险集团股份有限公司,北京,0,硕士,
人工智能研发专家,人工智能,42500.0,珠海金融投资控股集团有限公司,深圳,5,本科,
人工智能产品经理,人工智能,20000.0,创络（上海）数据科技有限公司,上海,0,大专,
Java开发工程师-智能平台(J10251),人工智能,20000.0,微医集团（浙江）有限公司,杭州,3,本科,
人工智能高级开发工程师,人工智能,20000.0,北大方正信息产业集团有限公司,北京,1,硕士,
人工智能平台布道师,人工智能,32500.0,第四范式（北京）技术有限公司,北京,3,本科,
智能对话-高级C++开发工程师-北京-02883,人工智能,30000.0,北京搜狗科技发展有限公司,北京,3,硕士,
人工智能边缘计算系统工程师（硬件方向）,人工智能,25000.0,深圳市零壹移动互联系统有限公司,深圳,3,本科,
1221EA-人工智能分析岗,人工智能,5000.0,深圳平安综合金融服务有限公司,洛阳,1,本科,
人工智能实习生,人工智能,4500.0,杭州智团信息技术有限公司,杭州,0,硕士,
人工智能算法工程师&nbsp;,人工智能,30000.0,北京顺丰同城科技有限公司,北京,1,本科,
人工智能实习生,人工智能,3500.0,阳光保险集团股份有限公司,北京,0,硕士,
智能对话-高级产品经理-北京-03925,人工智能,27500.0,北京搜狗科技发展有限公司,北京,3,本科,
产品经理-智能对话,人工智能,30000.0,北京京东世纪贸易有限公司,成都,3,本科,
人工智能解决方案咨询师,人工智能,24000.0,北京国双科技有限公司,深圳,3,本科,
人工智能实习生,人工智能,1500.0,江西神猪智能网络有限公司,萍乡,0,大专,
人工智能专家,人工智能,45000.0,众安在线财产保险股份有限公司,上海,3,本科,
人工智能工程师,人工智能,22500.0,北京和兴创联健康科技有限公司,北京,3,硕士,
人工智能算法研究员,人工智能,27500.0,深圳晶泰科技有限公司,深圳,0,硕士,
人工智能算法工程师（线上讲师）,人工智能,4500.0,腾讯科技（深圳）有限公司,深圳,3,本科,
新媒体运营－人工智能竞赛平台,人工智能,12500.0,南京善道智能科技有限公司,南京,1,本科,
人工智能算法工程师,人工智能,30000.0,北京零零无限科技有限公司,北京,1,本科,
人工智能算法研究员--深圳南山区,人工智能,37500.0,厦门深度赋智科技有限公司,深圳,0,硕士,
人工智能算法工程师,人工智能,15000.0,联想新视界（北京）科技有限公司,天津,1,硕士,
人工智能算法专家（图像视频方向）,人工智能,40000.0,北京安捷智合科技有限公司,北京,3,硕士,
人工智能算法专家,人工智能,40000.0,北京八维研修学院,北京,0,博士,
互联网运营专员 － 人工智能竞赛平台,人工智能,12500.0,南京善道智能科技有限公司,南京,3,本科,
人工智能算法研究员,人工智能,37500.0,厦门深度赋智科技有限公司,厦门,0,硕士,
22989-人工智能算法专家（图像／视频方向）,人工智能,45000.0,腾讯科技（深圳）有限公司,北京,3,硕士,
人工智能算法专家,人工智能,22500.0,杭州米谟科技有限公司,上海,0,本科,
人工智能算法专家,人工智能,30000.0,优刻得科技股份有限公司,上海,3,本科,
人工智能高级讲师,人工智能,45000.0,北京八维研修学院,北京,3,本科,
智能语音-声学模型研究员,人工智能,27500.0,北京搜狗科技发展有限公司,北京,1,硕士,
人工智能质量工程师,人工智能,12000.0,上海卓繁信息技术股份有限公司,上海,3,本科,
人工智能科学家／研究员,人工智能,37500.0,北京创新工场旷视国际人工智能技术研究院有限公司,深圳,3,本科,
对话智能产品助理,人工智能,17500.0,上海茗日智能科技有限公司,上海,1,本科,
技术支持工程师（人工智能）,人工智能,20000.0,北京捷通华声科技股份有限公司,北京,1,本科,
人工智能开发部经理,人工智能,20000.0,广州佰锐网络科技有限公司,广州,3,本科,
人工智能硬件测试工程师,人工智能,10500.0,中国信息通信研究院,南京,1,本科,
测试工程师（人工智能）,人工智能,13500.0,北京中科智加科技有限公司,北京,1,本科,
人工智能课程开发岗,人工智能,15000.0,江苏知途教育科技有限公司,南京,1,本科,
人工智能算法专家（图像／视频方向）,人工智能,45000.0,腾讯科技（深圳）有限公司,北京,5,本科,
人工智能科学家／研究员,人工智能,37500.0,北京创新工场旷视国际人工智能技术研究院有限公司,广州,3,本科,
人工智能平台开发工程师,人工智能,30000.0,优刻得科技股份有限公司,上海,3,本科,
人工智能开发工程师,人工智能,27500.0,成都欧贝珀思克科技有限公司,成都,0,本科,
销售经理（人工智能）,人工智能,15000.0,北京捷通华声科技股份有限公司,广州,3,本科,
2621HI-人工智能技术经理,人工智能,20000.0,平安好医投资管理有限公司,上海,5,本科,
大数据人工智能科学家,人工智能,30000.0,德方智链科技（深圳）有限公司,深圳,3,硕士,
人工智能实习生,人工智能,7000.0,亿阳信通股份有限公司北京分公司,北京,0,硕士,
人工智能研发工程师,人工智能,12500.0,北京北财教育科技有限责任公司,北京,1,本科,
项目经理（人工智能方向）,人工智能,28500.0,上海茗日智能科技有限公司,北京,1,本科,
人工智能专业开发工程师,人工智能,5000.0,武汉优科瑞特信息技术有限公司,武汉,1,大专,
人工智能 云计算,人工智能,10500.0,北京国电海通科技发展有限公司,济南,3,本科,
人工智能解决方案架构师,人工智能,21500.0,北京国双科技有限公司,上海,3,本科,
YAI-人工智能算法高级工程师(人工智能算法专家),人工智能,30000.0,深圳前海微众银行股份有限公司,深圳,3,硕士,
网易七鱼人工智能产品经理,人工智能,27000.0,网易（杭州）有限公司,杭州,3,本科,
人工智能平台实习生,人工智能,3500.0,优刻得科技股份有限公司,上海,1,本科,
技术支持工程师（人工智能）,人工智能,11500.0,北京捷通华声科技股份有限公司,西安,1,本科,
数据开发工程师（人工智能）,人工智能,16500.0,上海飞牛集达电子商务有限公司,上海,1,本科,
运营总监（人工智能方向）,人工智能,20000.0,北京功夫仁医网络科技有限责任公司,武汉,5,本科,
人工智能算法架构师,人工智能,45000.0,虹软科技股份有限公司,杭州,5,硕士,
人工智能算法工程师,人工智能,27500.0,北京成长轨迹教育科技有限公司,北京,1,本科,
产品经理（教育+人工智能）,人工智能,15000.0,科大讯飞股份有限公司,合肥,3,本科,
智能语音-自然语言处理研究员,人工智能,30000.0,北京搜狗科技发展有限公司,北京,1,硕士,
人工智能算法研究员(实习),人工智能,6000.0,厦门深度赋智科技有限公司,厦门,0,硕士,
人工智能讲师,人工智能,11500.0,石家庄佳诚网络技术有限公司,石家庄,1,本科,
人工智能产品工程师,人工智能,18500.0,威盛电子（上海）有限公司,上海,3,本科,
人工智能算法,人工智能,18000.0,新疆爱华盈通信息技术有限公司,深圳,0,本科,
人工智能算法工程师,人工智能,30000.0,北京寻宝天行网络技术有限公司,北京,3,本科,
人工智能应用产品经理,人工智能,32500.0,招商证券股份有限公司,深圳,0,本科,
人工智能讲师,人工智能,20000.0,北京一维弦科技有限责任公司,北京,3,本科,
人工智能视频流系统开发工程师,人工智能,30000.0,优刻得科技股份有限公司,上海,3,本科,
运营经理(人工智能方向),人工智能,11500.0,北京功夫仁医网络科技有限责任公司,武汉,3,大专,
人工智能算法研究员,人工智能,37500.0,上海深杳智能科技有限公司,上海,1,硕士,
汽车、人工智能行业分析师,人工智能,11500.0,北京亿欧网盟科技有限公司,北京,1,本科,
售前工程师（人工智能方向）,人工智能,14000.0,成都拓尔思信息技术有限公司,成都,3,本科,
人工智能算法工程师,人工智能,12500.0,西安绿点信息科技有限公司,西安,1,不限,
产品经理-智能审核服务方向,人工智能,30000.0,北京字节跳动科技有限公司,北京,1,本科,
人工智能算法,人工智能,18000.0,深圳市爱深盈通信息技术有限公司,深圳,1,本科,
运营总监（灵云人工智能开放平台）,人工智能,37500.0,北京捷通华声科技股份有限公司,北京,5,本科,
人工智能高级工程师/专家,人工智能,30000.0,浙江华为通信技术有限公司,杭州,3,本科,
数据智能开发专家 - GZ/SZ,人工智能,9000.0,普华永道中天会计师事务所（特殊普通合伙）北京分所,广州,1,本科,
人工智能产品经理,人工智能,6000.0,武汉小弦科技有限责任公司,武汉,0,大专,
人工智能算法工程师,人工智能,22500.0,广东三维家信息科技有限公司,广州,3,本科,
智能机器人训练师,人工智能,12500.0,度小满科技（北京）有限公司,北京,3,大专,
人工智能技术顾问,人工智能,12500.0,上海育创网络科技有限公司,上海,1,大专,
人工智能前端工程师,人工智能,6000.0,武汉小弦科技有限责任公司,武汉,0,本科,
编辑记者（人工智能方向）,人工智能,16000.0,上海骊翰科技咨询有限公司,北京,1,本科,
人工智能算法工程师,人工智能,30000.0,深圳市如木科技有限公司,深圳,5,本科,
人工智能解决方案实施经理,人工智能,21500.0,北京国双科技有限公司,北京,3,本科,
客户经理(人工智能数据方向),人工智能,12500.0,标贝（北京）科技有限公司,北京,1,大专,
技术支持工程师（人工智能）,人工智能,15000.0,北京捷通华声科技股份有限公司,北京,0,本科,
人工智能区域销售经理,人工智能,12000.0,上海卓繁信息技术股份有限公司,上海,1,本科,
人工智能应用研发专家,人工智能,52500.0,北京泰豪电力技术有限公司,北京,3,博士,
人工智能算法工程师实习生-医学图像,人工智能,7500.0,生仝智能科技（北京）有限公司,北京,0,硕士,
销售经理（机器人/人工智能）,人工智能,27500.0,北京金山网络科技有限公司,北京,5,大专,
智能交互算法专家/高级专家,人工智能,45000.0,广州小鹏汽车科技有限公司,北京,5,硕士,
AI人工智能工程师,人工智能,20000.0,厦门中软海晟信息技术有限公司,厦门,1,本科,
首席科学家（人工智能领域）,人工智能,45000.0,北京墨云科技有限公司,北京,5,硕士,
资深开发工程师／架构师（人工智能）,人工智能,30000.0,拉扎斯网络科技（上海）有限公司,上海,1,本科,
人工智能方向软件销售,人工智能,37500.0,合肥薪火信息科技有限公司,合肥,3,本科,
资深编辑（人工智能方向）,人工智能,20000.0,上海骊翰科技咨询有限公司,北京,3,本科,
总经理助理（人工智能方向）,人工智能,11500.0,广州市健坤网络科技发展有限公司,广州,3,硕士,
人工智能高级产品运营经理,人工智能,24000.0,腾讯科技（深圳）有限公司,深圳,3,本科,
人工智能高级课程助理,人工智能,3500.0,上海交通大学苏州人工智能研究院,苏州,0,本科,
少儿人工智能讲师（全国招募）,人工智能,7500.0,上海广问科技有限公司,杭州,1,本科,
智能光谱数据处理软件开发工程师（长沙）,人工智能,8500.0,天津（滨海）人工智能军民融合创新中心,长沙,0,本科,
人工智能算法工程师,人工智能,26000.0,杭州实在智能科技有限公司,杭州,0,硕士,
人工智能算法研究员(实习)--深圳南山区,人工智能,6000.0,厦门深度赋智科技有限公司,深圳,0,硕士,
安卓（大数据，云服务，人工智能，区块链）,人工智能,22500.0,常州泉晋光电有限公司,深圳,3,本科,
AI人工智能 讲师 WL,人工智能,15000.0,达内时代科技集团有限公司,北京,1,本科,
客服主管（人工智能训练师）,人工智能,7500.0,上海乐言信息科技有限公司,上海,1,本科,
医学人工智能研究员,人工智能,19000.0,西安交通大学第二附属医院,西安,0,本科,
人工智能项目实习生,人工智能,2500.0,北大方正信息产业集团有限公司,北京,0,硕士,
人工智能销售经理,人工智能,27500.0,京东数字科技控股有限公司,北京,5,本科,
大数据和人工智能售前架构师,人工智能,45000.0,腾讯科技（深圳）有限公司,上海,1,不限,
清洁类智能机器人产品经理,人工智能,27000.0,达闼科技（北京）有限公司,北京,5,本科,
智能客服产品专家,人工智能,40000.0,网易（杭州）有限公司,杭州,5,本科,
人工智能项目助理,人工智能,3000.0,唯衣（上海）网络科技有限公司,上海,0,本科,
智能产品经理,人工智能,20500.0,南京荟睿邦科技有限公司,南京,3,本科,
商务拓展经理（人工智能方向）/销售工程师,人工智能,11500.0,上海庆科信息技术有限公司,上海,1,本科,
智能产品经理,人工智能,15000.0,南京星星荟教育信息咨询有限公司,南京,1,硕士,
加推智能商务经理,人工智能,9500.0,武汉仁合利泰会计事务有限公司,武汉,1,大专,
资深算法工程师／算法专家（人工智能）,人工智能,34500.0,拉扎斯网络科技（上海）有限公司,上海,1,硕士,
高级产品经理-智能客服方向 (MJ003642),人工智能,26500.0,北京趣拿软件科技有限公司,北京,3,本科,
机器学习专家-（人工智能研究院）-杭州-01822,人工智能,45500.0,同盾科技有限公司,杭州,5,本科,
后台研发工程师-直播智能营销,人工智能,37500.0,北京字节跳动科技有限公司,北京,3,本科,
人工智能OCR专家（教育行业）,人工智能,70000.0,深圳市慧择信息集团有限公司,深圳,3,博士,
智能光谱数据处理硬件开发工程师（长沙）,人工智能,8500.0,天津（滨海）人工智能军民融合创新中心,长沙,0,本科,
产品经理（人工智能教育）,人工智能,20500.0,赛银（杭州）科技园有限公司,杭州,3,不限,
大数据及人工智能高级前端开发工程师,人工智能,40000.0,腾讯科技（深圳）有限公司,深圳,5,本科,
智能交互引擎研发,人工智能,30000.0,网易（杭州）有限公司,杭州,3,本科,
YAI-技术产品设计高级工程师(人工智能产品经理),人工智能,30000.0,深圳前海微众银行股份有限公司,深圳,3,本科,
人工智能云平台高级运维开发工程师,人工智能,27500.0,杭州睿拓智能科技有限公司,杭州,5,不限,
人工智能产品经理-实习生,人工智能,3000.0,唯衣（上海）网络科技有限公司,上海,0,不限,
AI人工智能-图像处理工程师,人工智能,15000.0,广西咪付网络技术有限公司,南宁,3,本科,
智能运维专家（AIops）,人工智能,40000.0,广州虎牙信息科技有限公司,广州,5,本科,
Go /Golang 工程师,人工智能,30000.0,北京数美时代科技有限公司,北京,1,本科,
物流产品经理（人工智能方向）,人工智能,40000.0,北京京东世纪贸易有限公司,北京,3,本科,
销售经理（人工智能＋健康医疗）,人工智能,12500.0,北京减脂时代科技有限公司,北京,1,大专,
AI智能应用高级产品经理,人工智能,30000.0,北京字节跳动科技有限公司,北京,3,本科,
人工智能算法实习研究员,人工智能,8000.0,暗物智能科技（广州）有限公司,广州,0,硕士,
人工智能科学家助理,人工智能,8000.0,深圳市微埃智能科技有限公司,深圳,0,本科,
产品专家-智能客服机器人10567,人工智能,27500.0,车好多旧机动车经纪（北京）有限公司,北京,5,本科,
人工智能图像算法工程师,人工智能,22500.0,杭州摩咕力网络科技有限公司,杭州,3,硕士,
智能运动产品设计师,人工智能,6000.0,墨威嘉慧（杭州）科技有限公司,杭州,0,本科,
后端开发工程师（go）,人工智能,22500.0,广州国音智能科技有限公司,深圳,0,本科,
智能安防行业销售经理（北区）,人工智能,15000.0,北京市商汤科技开发有限公司,深圳,0,本科,
人工智能系统全栈开发工程师,人工智能,9000.0,唯衣（上海）网络科技有限公司,上海,0,不限,
人工智能编辑记者实习生,人工智能,3000.0,北京智一科技有限公司,北京,0,本科,
AI人工智能算法工程师,人工智能,13000.0,厦门福信光电集成有限公司,厦门,1,硕士,
WEB（大数据，云平台，人工智能，区块链项目）,人工智能,23500.0,常州泉晋光电有限公司,深圳,3,本科,
（大数据及人工智能）项目经理,人工智能,30000.0,上海药明康德新药开发有限公司,上海,5,本科,
机器人智能感知算法工程师,人工智能,27500.0,西安易知行管理咨询有限公司,西安,1,硕士,
暑期实习生（人工智能方向）,人工智能,5500.0,中关村海华信息技术前沿研究院,北京,0,本科,
商务经理（人工智能行业+月入过万）,人工智能,11500.0,猎居网络科技（上海）有限公司,南京,3,不限,
AI人工智能工程师,人工智能,6000.0,广西咪付网络技术有限公司,南宁,0,本科,
高级产品经理（人工智能AI）,人工智能,24000.0,众能联合数字技术有限公司,南京,3,本科,
数据挖掘（智能客服）,人工智能,15000.0,拉勾猎头,广州,1,本科,
AI智能应用高级产品经理,人工智能,37500.0,北京字节跳动科技有限公司,北京,0,本科,
人工智能产品 销售助理,人工智能,5500.0,唯衣（上海）网络科技有限公司,上海,0,本科,
(大数据及人工智能)产品经理,人工智能,30000.0,上海药明康德新药开发有限公司,上海,5,本科,
智能驾驶图像算法实习生,人工智能,3500.0,广州小鹏汽车科技有限公司,广州,0,本科,
智能硬件研发总监,人工智能,25000.0,广东星舆科技有限公司,广州,5,本科,
高级Java开发工程师,人工智能,27500.0,杭州涂鸦信息技术有限公司,杭州,3,本科,
资深销售顾问（军工行业）,人工智能,30000.0,达而观信息科技（上海）有限公司,成都,5,本科,
售前经理-工业视觉 数据智能方向(J10152),人工智能,31500.0,创新奇智（北京）科技有限公司,北京,3,本科,
战略管理顾问（AI人工智能领域）,人工智能,30000.0,百度在线网络技术（北京）有限公司,北京,5,本科,
开发工程师,人工智能,30000.0,广州实地房地产开发有限公司,北京,3,本科,
11124V-产品专家（智能认知）,人工智能,30000.0,平安科技（深圳）有限公司,深圳,1,本科,
大数据平台开发工程师,人工智能,37500.0,北京市商汤科技开发有限公司,北京,3,硕士,
产品经理（智能风控方向）,人工智能,22500.0,中诚信征信有限公司,北京,3,本科,
Android软件工程师（人工智能）,人工智能,37500.0,维沃移动通信有限公司,杭州,3,本科,
0521AK-风险智能化转型-中级经理,人工智能,25000.0,平安证券股份有限公司,深圳,5,硕士,
计算机视觉算法工程师,人工智能,30000.0,达而观信息科技（上海）有限公司,上海,3,硕士,
高级java开发工程师,人工智能,37500.0,北京市商汤科技开发有限公司,北京,3,本科,
智能硬件产品经理（深圳）,人工智能,15500.0,上海证大喜马拉雅网络科技有限公司,深圳,3,本科,
智能硬件部-商务经理,人工智能,15000.0,北京小米科技有限责任公司,北京,1,本科,
高级战略分析师,人工智能,22500.0,光合新知（北京）科技有限公司,北京,3,本科,
产品经理（智能客服）,人工智能,20500.0,广州云徙科技有限公司,广州,3,本科,
人力资本智能化策略分析师,人工智能,30000.0,北京字节跳动科技有限公司,北京,1,本科,
算法工程师（排序/推荐/NLP）,人工智能,22500.0,拉勾猎头,广州,1,本科,
测试工程师,人工智能,12500.0,生仝智能科技（北京）有限公司,北京,0,本科,
高级Java,人工智能,22500.0,杭州涂鸦信息技术有限公司,杭州,3,本科,
数据挖掘工程师(智能客服方向),人工智能,28500.0,网易（杭州）有限公司,广州,3,本科,
初级研究员（上海）,人工智能,6500.0,广州威尔森信息科技有限公司,上海,0,本科,
视觉设计师,人工智能,18000.0,海深科技（宁波）有限公司,上海,3,本科,
Android开发工程师,人工智能,30000.0,北京和风畅想科技有限公司,北京,1,本科,
实施工程师,人工智能,15000.0,北京捷通华声科技股份有限公司,上海,3,本科,
资深大客户销售经理,人工智能,20000.0,达而观信息科技（上海）有限公司,成都,3,本科,
数据分析,人工智能,17500.0,拉勾猎头,深圳,3,本科,
AI算法工程师,人工智能,32500.0,杭州涂鸦信息技术有限公司,杭州,0,本科,
python工程师,人工智能,17000.0,生仝智能科技（北京）有限公司,北京,0,硕士,
高级视觉设计师,人工智能,32500.0,北京和风畅想科技有限公司,北京,3,本科,
研究员（CPV方向）,人工智能,6500.0,广州威尔森信息科技有限公司,广州,0,本科,
计算机视觉算法工程师,人工智能,37500.0,海深科技（宁波）有限公司,上海,1,硕士,
解决方案架构师(c/c++/go),人工智能,37500.0,北京市商汤科技开发有限公司,海外,5,本科,
项目经理（实施交付）,人工智能,22500.0,北京捷通华声科技股份有限公司,上海,3,本科,
售前技术支持经理,人工智能,22500.0,智言科技(深圳)有限公司,深圳,3,本科,
11125V-金融科技标准专家,人工智能,20000.0,平安科技（深圳）有限公司,深圳,3,本科,
销售总监,人工智能,37500.0,上海云轴信息科技有限公司,上海,3,本科,
算法工程师（搜索、预测方向）,人工智能,30000.0,上海谨拍电子商务有限公司,上海,3,硕士,
资深产品经理（丁香医生）,人工智能,27000.0,观澜网络（杭州）有限公司,杭州,3,不限,
资深图像/视频算法工程师,人工智能,37500.0,北京奇艺世纪科技有限公司,成都,3,本科,
资深大客户销售（政企）,人工智能,22500.0,达而观信息科技（上海）有限公司,成都,3,本科,
平台运营实习生,人工智能,2500.0,杭州涂鸦信息技术有限公司,杭州,0,本科,
ios开发工程师,人工智能,30000.0,北京和风畅想科技有限公司,北京,1,本科,
深度学习算法工程师,人工智能,37500.0,海深科技（宁波）有限公司,上海,1,硕士,
数据挖掘机器学习算法工程师,人工智能,40000.0,拉勾猎头,深圳,3,硕士,
项目实施工程师,人工智能,9000.0,北京捷通华声科技股份有限公司,成都,1,本科,
软件架构师,人工智能,22500.0,生仝智能科技（北京）有限公司,北京,0,硕士,
高级渠道经理,人工智能,22500.0,广东星舆科技有限公司,北京,5,本科,
11125C-云资深技术咨询顾问,人工智能,30000.0,平安科技（深圳）有限公司,北京,5,本科,
强化学习研究员,人工智能,30000.0,超参数科技（深圳）有限公司,深圳,1,硕士,
NLP算法工程师,人工智能,30000.0,上海谨拍电子商务有限公司,上海,3,硕士,
音频算法资深工程师,人工智能,30000.0,北京奇艺世纪科技有限公司,成都,3,本科,
资深风控建模专家 (MJ000760),人工智能,30000.0,挖财网络技术有限公司,上海,5,本科,
