,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Python,Matlab,Opencv,Tensorflow,Java,Linux,Caffe,Spark,Pytorch
10,指纹算法工程师,算法,11500.0,武汉芯盈科技有限公司,武汉,0.0,无,"，本科以上软件专业学历，三年工作经验以上；2，熟练使用VS或PYTHON;3,扎实的数学基础，有算法经验优先。任职要求：1，吃苦耐劳，具有团队合作经验；2，具备良好的逻辑思维能力和沟通表达能力；3，具备独立解决问题的能力，有较好的文档编写能力。",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,图像算法工程师（实习生）,算法,6000.0,杭州筹图科技有限公司,杭州,0.0,本科,"岗位描述：负责图像算法设计与软件开发工作，相关技术文档的编撰。岗位要求：1. 学习过相关课程，有较完整的计算机视觉和图像处理的基础，英语六级者优先。2. 了解数字图像处理的基本算法，了解机器学习的基本概念，有初步的机器学习算法基础，如图像分割, SVM等。3. 了解数字图像处理的常用工具，有OpenCV、Matlab图像库等的使用经验。了解面向对象设计，有C#，Java经验者更佳。",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12,图像算法工程师,算法,16000.0,深圳市杰恩世智能科技有限公司,深圳,0.0,硕士,"岗位职责： 1. 负责公司产品的图像处理,计算机视觉相关算法的研发，实现和性能优化。2. 根据项目要求开发视觉软件岗位要求： 1. 应用数学、计算机、图形图像、模式识别、机器视觉等相关专业硕士或以上学历。熟悉OpenCV  等机器视觉软件优先；2.  具有扎实的图像处理算法基础，熟悉常用计算机视觉和模式识别算法，有图像分割、特征提取、物体检测、图像识别等相关研究和项目经验 3. 具有较强的编程能力，熟练掌握C/C++编程，熟悉OpenCV，halcon等常用算法库 4. 有较强的文献阅读和算法实现能力；  5. 具备良好沟通能力和团队协作精神、较强的逻辑思维能力；",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,高级算法设计工程师,算法,18500.0,北京永新医疗设备有限公司,北京,2.0,本科,职责概述： 1、负责图像算法的设计和研发，包括图像重建算法、数据刻度和校正方法、图像后处理和分析算法及医学诊断参数计算等多个环节上的物理设计、数值模拟、算法开发和测试验证，并负责跟踪最新的核医学成像技术相关的图像算法技术；  2、负责产品研发项目的图像算法的设计、开发及设计验证工作； 3、负责产品图像的伪影去除和图像质量优化，对系统和图像性能进行评估与优化；技能要求：   1、精通数字信号处理、数字图像处理和数理统计相关理论； 2、精通C++和MATLAB语言编程，有基于CPU以及GPU编程的工作经验； 3、具有良好的数学基础和算法实现能力； 4、物理、生物医学工程、信号和图像处理或相关专业领域优先，数学背景强的优先； 5、有CT、SPECT、PET相关的物理知识和重建、校正算法的分析和开发经验优先；6、两年以上医疗产品研发经验优先。能力及素质： 1、具备良好的编程风格和较强的文档编写能力，能根据公司的要求提供完整规范的研发文档和测试报告； 2、具有良好中英文口头和书面沟通表达能力和对问题的理解和逻辑分析能力； 3、学习能力强，对待工作积极主动； 4、良好的团队合作意识和能力，具备在压力下按时完成工作的能力。工作经验：2年以上相关行业工作经验。教育背景：物理/数学/计算科学/生物医学工程等相关专业，统招院校硕士以上学历或有相关行业专业技术工作二年以上经验的本科。职能类别：										算法工程师																			医疗器械研发									关键字：数字信号处理数字图像处理数理统计C++MATL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,图形算法工程师（国企、五险一金）,算法,20000.0,中南设计集团（武汉）工程技术研究院有限公司,武汉,3.0,硕士,工作职责：从事BIM平台中图形及几何算法相关研究和开发工作；任职要求：1、研究生及以上学历，有较强的学习和适应能力2、2~3年以上工作经验，数学、计算机等相关专业；3、熟练掌握C++及Python脚本语言，具有深厚的算法设计基础，数学功底好；4、熟悉计算几何及图形学算法，OpenCASCADE库及OSG图形引擎；5、具有三维CAD和建筑设计类软件研发经验者优先考虑,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,NLP算法工程师,算法,18000.0,优品财富管理股份有限公司,武汉,2.0,本科,岗位职责：使用深度学习/机器学习对大量金融非结构化文本信息进行内容分析，包括内容分类、主题提取、情感分析等岗位要求：1.计算机/数学/统计学等相关专业，硕士及以上学历，2年以上NLP工作经验；2.具有较好的逻辑思维及较强编程能力（精通C/C++或Java），熟练使用至少一种脚本语言（python/shell等）；3.熟悉NLP常用技术，有中文分词、命名实体识别、主题提取、DeepLearning在NLP领域中的应用等实战经验；4.有相关项目经验，并担任核心算法架构或研发者优先考虑；5.有较强的学习能力和良好的沟通能力。,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,图像算法工程师,算法,9000.0,珠海科域生物工程股份有限公司,珠海,3.0,本科,、至少3年的图像算法相关工作经历，对图像处理与分析有深刻理解；2、精通C/C++语言，熟悉Python等脚本语言，熟悉Windows环境下的软件开发；3、精通机器学习，熟悉深度学习；4、熟悉软件工程、软件开发规范，有良好的软件编程习惯；5、良好的团队协作精神、学习能力；工作积极主动。工作职责：1、负责图像分析算法的研发、实现以及模块代码编写、以确保算法的可实现性、结构性；2、对现有算法的改进、维护工作，以确保算法的有效性、正确性；3、编码过程遵循规范要求，编写相应开发文档；4、配合研发团队完成产品说明书及其他技术文件的撰写。,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,算法工程师,算法,12000.0,成都盟升电子技术股份有限公司,成都,0.0,本科,公司拥有独立的办公大楼、产业园区，目前正处于快速发展阶段和IPO上市阶段，欢迎优秀有志者的加入，公司将为您提供广阔的发展平台和公平的晋升通道。算法工程师（通信方向）1人任职要求：1、熟悉通信系统、信号处理原理。2、熟悉Xilinx或Altera系列的FPGA开发流程，掌握Verlog、VHDL硬件语言编写代码。3、熟悉通信系统中调制解调、编解码等关键技术及相关通信协议，掌握数学仿真工具对通信系统进行仿真。4、具有良好的团队精神和沟通能力，有较强的进取心，有一定抗压能力。5、有相关工程经验尤其是卫星通信工程经验者优先。工作综述：卫星通信系统的体制设计与实现，含调制解调算法、编解码、通信协议等关键技术设计。算法工程师（惯导方向）2人任职要求：1、精通惯导原理。2、精通空间矩阵运算和空间坐标变化，数学好。3、精通信号估计算法和卡尔曼滤波。4、熟练使用数学分析工具。5、具备文档写作能力。工作综述：各种惯导产品开发、产品维护、文档写作。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,算法工程师,算法,25000.0,深圳市深湾创新投资管理有限公司,深圳,3.0,硕士,岗位职责1、从事脑电及相关生物信号的处理与分析，发现和实现相关的算法；2、参与可穿戴设备或医学诊断设备的研发。岗位要求1、具备良好的信号处理基础；2、具有生物医学信号处理经验，熟悉EEG心理参数特征提取和算法建模的优先；3、熟悉大脑的神经控制以及具备脑电分析；4、熟悉深度学习理论、应用场景以及相关模型和算法，熟练掌握TensorFlow等业界深度学习框架，有过实际深度学习相关项目经验的优先；5、熟练掌握MATLAB等数据处理工具以及相关编程；6、具有脑电信号的实验经验，熟悉EEG相关领域的公共数据库及其使用方式。7、能熟练检索和阅读相关领域英文论文。,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,图形学算法工程师,算法,16000.0,广州敏视数码科技有限公司,广州,0.0,本科,岗位职责：负责车载3D环视系统的图形学算法验证及嵌入式实现任职要求:1.精通C/C++编程，熟悉常用数据结构和算法；2.精通图形学原理，有较好的数学功底，具有软件及算法开发能力；3.具有GPU并行计算的经验，熟悉Opengl，熟练使用OpenCV等图像处理库；4.熟悉摄像机标定相关算法；5.具有三维模型重建经验或图形可视化经验者优先；6.具备嵌入式linux软件开发经验者优先。,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,算法工程师\机器学习,算法,12500.0,南京讯之智信息技术有限公司,南京,2.0,本科,						岗位职责：1、参与公司核心机器学习算法设计与开发，结合公司实际业务，提供人工智能解决方案；2、负责机器学习、深度学习领域的核心算法模型研究工作；3、对自然语言处理（如文本知识挖掘和知识推理、自动问答和对话、信息抽取、语义分析）、图像处理等领域提供模型支持；4、负责海量数据分布式计算平台建设。任职要求：1、计算机科学、数学、统计、物理、信号处理等相关专业。2、精通自然语言处理相关领域的知识与技能，熟悉各种NLP相关算法，有良好的数学基础及建模能力；3、熟悉人工智能、机器学习、模式识别等领域的相关算法，精通python和数据结构；4、有深度学习研发背景（CNN/DBN等）者优先，熟悉至少一种深度学习训练工具（Caffe/Theano/ConvNet/TensorFlow/Torch等）；5、在自然语言处理、文本挖掘、图像处理等领域有丰富的项目经验及算法实现能力者优先；6、善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神，有创造性思维，有推进人工智能的理想和使命感；7、具备良好的英语读写能力。8、有金融领域行业经验者优先。																		,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,算法工程师,算法,15000.0,苏州浩克系统检测科技有限公司,昆山,3.0,硕士,主要工作任务和职责（Major Tasks and Responsibilities）: 1. 负责自动化检测设备、智能制造设备的视觉检测方案的设计； 2. 承担视觉定位、图像处理、缺陷检测等算法软件的开发与应用； 3. 实现对检测算法或视觉识别算法的迭代优化；   任职资格（Qualifications Required）: 1. 硕士及以上学历，计算机、数学等相关专业； 2. 3年以上图像处理开发经验，掌握视觉开发平台、OpenCV、Halcon、C++等开发技术； 3. 熟悉图像处理算法，及工业检测、自动化机器视觉算法； 4. 了解工业相机和光源的使用特性； 5. 了解Caffe、tensorflow等深度学习框架者优先； 6. 具有良好的沟通交流能力和团队精神。,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
22,算法工程师,算法,9000.0,辽宁聚进科技有限公司,沈阳,0.0,硕士,工作职责1、根据安排的研发项目与研究课题，熟悉相关业务和范围目标，制定相应的工作计划；2、根据研发项目与研究课题的需要，学习所涉及的业务、技术，并进行必要的现场调研、跟踪与学习；3、根据研发项目与研究课题的目标要求，设计相应的算法，并且和相关的业务人员、领导进行评审，确定算法的最终设计；4、根据算法的设计，进行算法的开发工作，遵守相应的编码规范及相关标准要求，完成自测；5、根据研发项目与研究课题的目标要求，结合算法的开发结果，主导、组织和推进算法在实际环境中的调试与测试、验证，并做好问题记录与总结分析，及时完善算法。任职资格1、 985&211院校在读及应往届 数学类、计算机类、软件工程、图形学、通信工程、电子信息、图像处理等相关专业硕士研究生；2、具备扎实的算法和数据结构基础、较强的逻辑思维能力；3、具有一定的编程能力，精通Matlab等编程工具；4、有计算机软件开发基础者优先；5、在校期间有相关项目经验者优先。,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,高级算法研发工程师/算法研究员,算法,30000.0,上海正雅齿科科技股份有限公司,上海,3.0,硕士,工作职责：1.深入研究、自主研发基于三角形网格的算法2.根据需求，搜索、了解、改进、实现、优化算法，提交算法文档3.与同事配合，完成算法的实现4.与同事配合，撰写算法专利5.参与算法研究组的讨论，了解、学习、研讨其他方向的算法任职资格：1.熟悉常见的三角形网格处理的算法，或者有愿意学习三角形网格处理的算法2.三年以上的计算机图形学或相关领域研究和工作经验3.良好的数学基础4.熟练掌握一种编程语言，可视化展示仿真结果5.熟练阅读英语文献6.硕士学历及以上备注：正雅是一家非常重视研发的公司。隐形正畸是一个快速发展中的行业，涉及各种专业知识，包括口腔医学、三维模型处理、二维图像处理、医疗大数据、机器学习、材料研发、生物力学、有限元分析、自动化生产等等。欢迎感兴趣的小伙伴加入。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,算法工程师,算法,13000.0,南京唯实科技有限公司,南京,2.0,本科,岗位职责：1、将调研好的算法进行产品落地；    2、制作相关数据报表及数据实施效果评估报告岗位要求：1. 熟悉基本算法，eg：关联算法，决策树，聚类，svm，贝叶斯以及图计算的相关知识。2.熟悉mapreduce，hive，spark。能够将方案实现落地。3.熟练使用python，java，Scala至少一种编程。4.具有数据挖掘方面的实际项目经验，并在项目的设计、实现、落地的过程中担任主要角色。 5. 两年以上工作经验，计算机、数学专业优先。,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,语音识别算法工程师,算法,22500.0,上海广拓信息技术有限公司,上海,1.0,硕士,"岗位职责描述:1.负责语音识别相关算法的研究与开发，包括声学模型、语言模型的训练等2.负责语音识别声学模型的训练和优化3.负责构建语音识别模型并推动落地,跟进前沿技术研究，不断优化语音识别算法岗位要求:1.硕士或以上学历，信号处理、计算机、电子信息、自动化、模式识别等相关专业2.1年及以上语音识别、语音合成相关工作经历，有过实际语音识别系统的研究和开发经验3.具备扎实的语音信号处理理论基础，熟悉语音识别相关的模式识别，深度学习理论4.熟悉信语音识别核心算法(如阵列信号处理、HMM-GMM、深度学习等)5.熟悉C/C++ /Python中一种或多种编程语言,能编程实现语音处理算法6.有下列研究方向经验的优先：语音降噪增强检测以及麦克风阵列等",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,高级图像算法工程师,算法,19000.0,江苏迪盛智能科技有限公司,苏州,3.0,硕士,岗位职责：1、图形图像处理，计算机视觉相关算法的研发；2、优化现有算法。岗位要求：1、硕士及以上学历，计算机、数学、物理、自动控制、信号与处理或相关类专业；2、相关行业3年及以上工作经验；3、熟悉常见的模式识别算法；4、熟练使用C/C++语言；5、熟练掌握模板匹配算法；6、数学功底扎实。,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,博士岗-电控开发（变频算法）,算法,27500.0,美的集团冰箱事业部,合肥,0.0,博士,						岗位职责:变频算法研究及运用方向1、负责压缩机电机驱动控制的算法设计、软件代码编写和仿真研究与开发；2、创新地优化和完善控制算法，提升变频能效，降低噪音；3、变频控制器设计和测试标准制定。任职资格:1、博士学历，控制理论与控制工程、自动化、电机与电器类相关专业；2、熟练使用C/C++语言，熟悉DSP、ARM架构，熟练运用MATLAB simulink进行软件控制算法的仿真验证；3、熟悉电机控制算法，特别是永磁同步电机控制算法（包括MTPA、弱磁控制、过调制、转矩补偿、死区补偿、高频注入、电机参数辨识、无速度传感控制算法等）；4、熟悉变频控制器硬件设计，特别是逆变电路、功率因数校正电路等设计；5、有变频控制器开发经验（例如从事过变频家电、电梯、电动汽车等电机驱动）优先；6、参加全国电子竞技比赛获奖者或者在国外主流核心期刊发表过论文者优先。																		,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,算法工程师（运筹优化方向）,算法,17500.0,美的集团,佛山,1.0,本科,						岗位职责:1.基于海量数据和真实需求，对业务问题进行定义、分析、方案制定及相关算法实施2.利用数据挖掘、机器学习相关算法，对物流供应链相关各环节进行分析、预测，搭建并持续优化相关模型，解决实际业务需求3.深入理解业务，对订单分派、车辆路径规划、配送网络规划、库存管理等核心问题进行建模优化任职资格:1.硕士及以上学历，计算机、应用数学、运筹学、工业工程、统计学或相关专业，具有扎实的建模基础，有统计和数据挖掘为佳；2.熟悉运筹学领域的算法理论和应用，具备大规模VRP、TSP的实践经验优先；3.具备较强的业务理解和抽象能力，能快速理解问题并设计解决方案，具有实际工业场景的运筹优化项目经验优先；4.至少精通一种编程语言，如R/S/Python/java/C++等，熟悉掌握数据库及SQL；5.具有较强的团队合作精神，对人工智能领域抱有极大热情。																		,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,光路由算法工程师,算法,15000.0,华为技术有限公司,武汉,1.0,本科,岗位职责：2、网络规划/优化的关键技术和算法（波长规划，重路由，调度、调测等）3、针对光通信业务场景，选择和实现网络选路算法，完成算法引入评估，实现算法原型，和服务化岗位要求：1、熟悉光通信业务场景，网络算法等；2、熟悉C/C++，具体网络通信基础的优先职能类别：										算法工程师									,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,高级算法优化工程师（CPU、GPU、DSP）,算法,37500.0,深圳市大疆创新科技有限公司,深圳,3.0,硕士,职责描述：本职位分为三个方向：移动端CPU/GPU方向、嵌入式DSP方向、CUDA方向；1.基于CPU/GPU/DSP平台，对机器学习算法进行性能优化、基础算法库设计；2.跟踪机器学习算法、高性能异构计算领域技术发展，为机器学习平台提出创新构想，推动机器学习平台性能提升；3.负责将机器学习算法移植到实际产品中，提升产品的质量、性能和稳定性；4.负责和上下游同事对接，编写相关技术文档。任职要求：1.全日制以上硕士学历，计算机/电子相关专业，3年以上算法优化经验；2.精通C/C++、数据结构和设计模式、具备良好的软件工程习惯；3.对以下一种或多种异构计算硬件体系结构、并行计算有深入研究和实践经验：①ARM/x86等CPU上算法性能优化经验，熟悉汇编指令（如ARMv7/v8-A）、多线程编程，各种内存管理技术；②CEVA/Cadence/Movidious/Hexagon等DSP上算法性能优化经验，熟悉DMA操作；③Nvidia/AMD/Adreno/Mali等GPU上算法性能优化经验，熟悉GPU架构编程；4.熟悉机器学习算法和模型，熟悉主流机器学习平台框架（如Caffe/pytorch/Tensorflow），熟悉主流机器学习推理框架（如ArmNN/TensorflowLite）；5.良好的团队合作意识，优秀的沟通和学习能力。,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
31,算法工程师,算法,11500.0,大唐移动通信设备有限公司西安分公司,西安,3.0,本科,岗位职责：1、从事基站系统中射频关键算法研究，如宽频信号 DPD、CFR等性能提升算法；2、负责射频离散性和准确性校正算法，模拟非理想性对抗算法等方向研究；3、负责数模混合系统建模和算法研究开发、频域压缩感知方法研究；4、负责算法到ARM平台的移植与算法实现优化；5、负责4G基站产业化开发；6、负责4.5G、5G基站的研究与开发。任职要求：1、通信、电信等相关专业，本科及以上学历；2、有良好的数学功底，熟悉信号处理理论、机器学习、数学建模等相关知识；3、掌握回归算法、矩阵运算、线性规划等经典算法思想；4、熟悉数字信号处理、数字基带信号处理和频域时域变换、非线性建模与非线性处理方法等，熟悉移动通信系统架构，物理层基础知识；5、理解射频、微波基本原理，具有中射频、微波等硬件基础或经验者优先。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,算法仿真工程师（工作地点：浦东）,算法,27500.0,上海大唐移动通信设备有限公司,上海,3.0,硕士,岗位职责：1、负责物理层相关算法的定点仿真与验证；2、对物理层算法进行分析和优化；3、为新算法的可行性分析提供仿真支持；4、与软硬件开发团队密切配合，支持算法验证与实现验证；5、对算法在产品实现过程中的技术问题提供支持；6、完成算法相关文档的撰写。任职要求：1、信息与通信工程、信号与信息处理等相关专业，硕士及以上学历；2、物理层算法相关工作经验3年以上；3、在无线通信、数字信号处理方面有扎实的技术背景和良好的理论分析能力；4、精通或熟悉：OFDM，MIMO，均衡，信道估计，信道编解码，干扰消除，时间/频率同步等物理层关键算法；5、精通C/C++编程，熟悉Linux操作系统；6、熟悉3GPPLTE/5GNR物理层相关标准；7、良好的沟通能力和团队合作精神；8、工作认真，努力，专注。有一定承压能力。,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
