,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Excel,Sql,Python,Mysql,Oracle,Java,Hadoop,Linux,Spark
10,数据分析经理,数据,10000.0,湖南皇爷食品有限公司,湘潭,3.0,本科,"岗位职责： 1.负责业务系统的数据管理；2.管理分析类指标建设；3.组织开展数据挖掘分析应用，对市场营销进行有效的影响因素分析；4.对营销费用的预算精细化分析，月度进行费用差异的分析以及18个月滚动预测；进一步通过优化预算管理的流程，培训业务部门预算管理人员的能力和增加活动计划能力、活动反馈机制来系统性提高费用管理效率；5.负责市场部业务系统需求的提出与开发测试；6.市场相关的项目进行深入细致的数据分析，把投入产出的分析落地到客户级别的分析追踪。利用各个项目管理平台采集的大数据，进行终端的生意&投入产出分析。协助业务部门综合判断活动执行的效率和改进方案；7.负责部门业务数据的加工、处理，监管报表、行内报表的统计报送，协助内外部审计、检查以及年度报表相关的信息披露工作；8.对市场费用进行综合的测量和评估，协助制定公司项目和业绩关联有效的KPI，和定期的追踪机制，以协助提高市场投入费用的使用效率；9.进行分事业部的业绩分析，对于其中的影响因素进行有效的拆分，形成下一步行动计划；10.协助进行等各项重要管理层会议资料的准备。任职要求：1、年龄25-35岁，本科以上学历，数学或物理专业毕业；2、2年以上数据分析经验，结构化思维，对数据高度敏感，自我驱动，以结果为导向；3、掌握数据分析/挖掘方法及相关算法，精通EXCEL 高级功能（如数据透视表，函数等）；4、具备较强的独立处理问题和解决问题的能力；较强的报表制作能力，对数据分析、挖掘有实际经验和浓厚兴趣；具有进销存,零售行业数据分析经验者优先考虑。",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,大数据开发工程师,数据,27500.0,杭州蜂鸟人力资源有限责任公司,杭州,0.0,无,基于公司业务设计用户画像模型，包括行为习惯，人群分类，精准推荐引擎等；                 3. 海量数据多维度实时OLAP及BI/报表服务开发。 任职资格： 1.本科学历，3年以上大数据开发经验；  2.精通一种以上大数据开发技术，包括HBase、Spark Streaming、Hive、Druid、Hadoop、MongoDB、TIndex等。 3.熟练掌握Java开发技术，熟悉Linux平台； .有大数据平台搭建（具备灵活高性能的数据分析能力）、优化经验优先；                 4.熟悉常见的机器学习、自然语言处理及算法相关领域的知识：包括句法/语法分析、关键词抽取、情感分析、文本分类聚类、文本检索、相似度算法、深度学习算法等优先包吃住，福利齐全联系电话：18158512261（王小姐）职能类别：										大数据开发/分析																			数据库工程师/管理员									,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
12,数据员,数据,3750.0,无锡华邦世捷供应链管理有限公司,无锡,0.0,大专,***，35岁以下，大专以上学历；2.能熟练使用办公软件，有一定电脑操作基础；3.工作认真细心，头脑灵活，有一定逻辑思维能力；4.能适用加班。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,实习生（数据分析方向）,数据,2500.0,福州咸鱼科技有限公司,福州,1.0,大专,岗位职责：1、深入了解业务，运用多种数据源进行组合分析、挖掘和建模，为业务决策及时、有效地提供参考；2、基于业务发展要求，开发自动化的数据分析解决方案。任职资格：1、全日制计算机、数学/统计学、信息技术等专业大专及以上学历，有互联网相关数据分析工作经历；2、熟悉office的使用，尤其excel各类函数的使用；3、有一定的数据库基础，能够编写简单的SQL语句（如：增删改查）；4、勤学好进，积极向上，具备良好的自我驱动意识。公司主页：www.xianyukeji.cn福州地址：福州市仓山区花溪北路橘园创意广场65＃,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,高级C/C++（分布式数据库开发）,数据,17500.0,西安优炫软件有限公司,西安,3.0,本科,岗位职责：1. 数据库产品的研究、设计与开发；2. 数据库产品相关指南和手册，并对相关使用人员进行技术指导和培训；3. 数据库产品相关的协调沟通和技术交流工作等；4. 数据库产品的工程实施与生产故障分析处理；5. 探索、研究新的数据库架构发展方向。任职要求：1、学历本科及以上，精通数据结构、算法，熟练使用各种数据结构和算法，实现高效率、高并发编程2、精通Linux操作系统，熟练使用vi等基本命令，熟练使用shell脚本语言，熟练掌握Linux系统权限设置以及使用3、精通Linux操作系统应用开发，熟练掌握进程控制、进程通讯等各种方法4、熟练掌握各种设计模式，可以针对不用需求设计相应的实现架构5、具有安全产品相关经验优先,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,数据采集工程师,数据,5000.0,中航宝胜智能技术（上海）有限公司,上海,1.0,本科,"岗位要求： 本科及以上学历，电气自动化或相关专业 熟悉任意一种主流PLC程序编写，熟悉任意一种上位机软件使用，能熟练进行上位机与PLC简单的通讯，熟悉计算机原理。 熟悉OPC,Modbus,RS232, profibus，profinet 工业以太网通讯协议 使用过wonderware intouch产品优先，会C#/java开发优先 可接受短暂的出差，有良好的团队协助能力和抗压能力 接受优秀的应届毕业生span>岗位职责：  参与各种设备的PLC,上位机，SCADA的数据采集，测试核对 参与现场设备的接口，通讯方式开发，技术储备",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,上海链家直招 OPBP（数据运营）,数据,12500.0,上海链家,上海,0.0,本科,"OPBP工作职责：数据运营+产品运营+项目运营1.参与对接大区的营运例会，熟知大区的现状及问题，针对现状和问题，协助大区总经理策划关键项目，并提供执行保证；2.负责大区各层级业务动作的统一标准化，提供相应的数据分析及数据解读；3.负责公司专项运营项目和考核指标的宣导、解释及推动，协助公司标准化的管理以及运营指标的完成；4.其他上级交办的事宜。任职资格：1.全日制本科985及以上学历；2.具备优秀的数据敏感性，优秀的Excel和PPT功底，会使用tableau,sql尤佳；3.具备较强的沟通表达能力、演讲能力；4.具备优秀的项目管理能力；5.责任心强、踏实进取、能承受一定的工作压力。联系人:姜嘉旭15801868284",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,大数据开发工程师,数据,10416.67,广州万企互联信息科技有限公司,广州,1.0,大专,工作职责：1、负责用户输入信息及意图的核心元素识别和智能化输出匹配结果；2、负责精准的意图识别、快速匹配、智能推荐的系统及算法的开发；职位要求：1、计算机、自动化、统计等相关专业学历；2、理解排序/推荐/用户画像分析和建模的基本概念和常用方法；3、在机器学习或数据挖掘或深度学习方向有较强的积累，熟悉经典算法并有实践经验；4、熟练掌握海量数据处理技术，有分析海量数据的能力和经验；5、编程基础扎实，熟悉算法数据结构，至少掌握Python/Java/Scala中的一种;6、优秀的分析和解决问题的能力，对挑战性问题充满激情，有较强的沟通能力和自驱力，团队意识佳;7、有意图识别、个性化推荐、精准匹配等项目经验者优先。【创业团队核心成员，入职即配股权】,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,生产分析数据专员（外派上海）,数据,8000.0,嘉里粮油（青岛）有限公司,上海,3.0,本科,具体工作内容：1、产业链经营分析；2、原料油结价测算、新品成本测算、业务部利润平衡测算等；3、推动花生芝麻业务部各部门运营数据标准化并促进关联分析，实现IT系统化；4、搭建网络规划工具系统线性模型搭建，考虑全产业链限制性因素，形成基于SKU层级的精准分析并可输出结果指导运营5、完成3&4中IT项目数据收集、整理、清洗、分析工作，使之在系统中可视化呈现6、每月定期更新模型，持续发现网络优化机会点并推动，满足全产业链***响应、各工厂/各分公司/各经销商多级最优库存策略、最优供应成本及时效要求7、持续关注各产线供应网络及客户、各个竞争对手供应网络，形成可视化成果以支持管理决策任职资格要求：具备ACCA/CMA资质的商科或物流、统计学、运筹学、工业工程专业本科及以上学历英语6级及以上，口语及书写流利3年以上数据分析经验，熟练掌握SAP、EXCEL、PPT、ACCESS、VISIO软件，有SPSS等统计类软件使用经验者优先具有项目管理、供应链管理经验优先基本素质要求： 业务导向、较强的逻辑思维能力及良好的沟通能力具备多工作处理能力及设定优先顺序，细节导向、客户导向及结果导向良好的身体素质和心理素质，能够合理安排工作，具有良好的团队合作精神及独立工作能力为人正直，具有良好的职业道德，正直高尚的个人品质能够接受长期外派上海（***优先）,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,文员（数据整理方向）,数据,5250.0,索贝运维数码科技（北京）有限公司,北京,0.0,大专,经过培训后根据相关规范和要求，对广电客户的短视频资料进行相关信息的分类和标签化著录；2.按时保质地完成特定的产量任务；任职要求：1、熟悉网络用语的可放宽专业限制，有经验的优先录取2、具有较强的语言组织能力、表达能力，善于对视频客观信息进行分类和标签化处理。3、工作踏实认真、耐心细心，具体团队意识和合作精神；职能类别：										新媒体运营																			产品专员									关键字：周末双休带薪年假节日福利立即上岗出差补贴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,数据信息员,数据,5000.0,浙江冰虫环保科技有限公司,杭州,0.0,大专,、网络部与招商部数据的对接，将数据分配给招商经理2、监督招商人员的电话沟通情况，对数据做出统计分析及归纳整理；3、招商前端电话，QQ在线咨询及网络部提供的数据及时登记，不得遗漏任何一条数据4、数据公平，公正，公开的进行有效分配任职要求：1、熟练应用word/excel/ppt2、较好的责任心、良好的沟通能力、总结归纳能力,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,大数据开发工程师,数据,11500.0,福韵数据服务有限公司,长沙,3.0,本科,、负责数据接入、数据清洗、底层重构，业务主题建模等工作；2、负责大数据整体平台的架构与方案编写。任职要求：1、计算机、软件工程等相关专业，本科及以上学历，具有3年及以上大数据开发与架构分析经验优先考虑；2、熟悉Hadoop或Spark生态相关技术，包括MapReduce、hdfs、Hive、Spark等，1个以上大数据平台项目实施经验；熟悉Oracle或MySQL数据库技术；3、熟悉数据仓库和数据建模的相关技术细节，精通JAVA语言；熟悉SQL/Hadoop/Hive/Hbase/Spark等大数据工具。4、具有海量数据处理经验，或有互联网行业数据挖掘工作经验者优先。,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
22,数据分析师,数据,7000.0,沈阳市和平区鹏润衣世界服装批发城,沈阳,3.0,无,岗位职责：1、协助制作相关数据分析工作2、数据统计及分析；办公室所有软件、表格优化等；3、对数据库的建立、建模等；4、上级领导安排得其他工作。任职资格：1、有相关数据分析师工作经历3年以上2、熟练数据库的建立、建模等；3、本科以上学历。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,数据技术及产品部-数据研发专家（优酷）-北京,数据,,阿里巴巴集团,北京,3.0,本科,						1、 参与优酷家庭娱乐数据仓库架构设计与研发，建设百PB级的公共数据平台和服务系统，实现高质量数据的互通与共享2 、参与优酷家庭娱乐数据产品与应用的数据研发，发掘数据商业价值，打造极致体验的数据产品3、 助力数据化运营业务，构建丰富多样的BI应用1 、从事数据仓库领域至少2年以上，熟悉数据仓库模型设计与ETL开发经验 ，掌握Kimball的维度建模设计方法，具备海量数据加工处理（ETL）相关经验2 、掌握至少一种数据库开发技术：Oracle、Teradata、DB2、Mysql等，灵活运用SQL实现海量数据ETL加工处理3、 熟悉Linux系统常规shell处理命令，灵活运用shell做的文本处理和系统操作4、 有从事分布式数据存储与计算平台应用开发经验，熟悉Hadoop生态相关技术并有相关实践经验着优先，重点考察Hdfs、Mapreduce、Hive、Hbase5、 熟练掌握一门或多门编程语言，并有大型项目建设经验者优先，重点考察Java、Python、Perl6 、熟悉数据仓库领域知识和技能者优先，包括但不局限于：元数据管理、数据开发测试工具与方法、数据质量、主数据管理7、 掌握实时流计算技术，有storm开发经验者优先8、 良好的语言沟通与表达能力和自我驱动动力																		,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,数据挖掘算法工程师（腾讯科技编制）,数据,22500.0,腾讯RDM,深圳,2.0,本科,"【岗位职责】 1、 负责搭建部门监控眼平台：通过海量数据对用户行为进行深入分析，挖掘风控工单及业务故障问题等；通过挖掘外网舆情数据建立客服口碑指数。  2、 负责落地部门各个业务上智能清洗任务：通过数据挖掘优化业务流程，提高人工服务效率，提升用户体验。  【岗位要求】 1、 计算机，数学，统计，数据挖掘等相关专业本科及以上学历；  2、 扎实的算法基础，熟悉算法原理和机器学习基本理论 ,熟悉数据分析方法，熟悉分类，回归，聚类等机器学习算法及应用场景。  3、 熟悉Java，Python，C++等一种或一种以上编程语言，熟练使用至少一种主流深度学习编程框架，如Tensorflow、PyTorch、MXNet等； 4、 对自然语言处理相关的实体识别、句法分析、情感分析和观点抽取、语义分析等有深入的实践经验者优先。  5、 对图像分类、物体检测与分割、ocr等领域有深入的实践经验者优先；对语音识别、声纹识别、语音情绪识别等相关的模式识别有深入的实践经验者优先；  6、 较好的主动性和分享精神，良好的沟通和协作能力。",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
25,财务分析FP&A--数据分析,数据,12500.0,霍尼韦尔（中国）有限公司,张家港,0.0,本科,"Job  Activities: Manage  month end closing pulse consolidation, closing result tracking &  post-closing reporting and analysis work.Prepare  the deck for monthly operating review, identify issues and coordinate with  various functions to come up with the corrective actions.Supervise  the APAC standard reporting package.Track  the financial result for key initiatives including NPI revenue, E2R, E4E, MMS,  etcProvide  financial planning & analytical support for HBT APAC functional team.Monitor  key economic indicators for the business and provide financial analysis to HBT  leadership on key business trends and market environment.Analyze  business performance (year-over-year, sequentially, vs. forecast) in various  formats to facilitate internal financial discussions or decisions to drive  business results and to fulfill Corporate requirements.Closely  connected with GFC team to get updated on new automation tools/ analysis pack.Support  Data analytics and Automation projects implementation in APAC region.To  support ad hoc needs per management requirement.Requirement: 3-5  years working experience in Multi-national Company. Business experience in  either financial accounting or financial analysis / reporting role.Excellent  skills in excel and ppt. Be able to learn advanced automation toolsBachelor  degree in Accounting/Finance & relevant accounting professional accounting  qualification (CPA, ACCA, ACA or equivalent) or MBA is a PLUS.High  financial analytical skills with good business acumen and understand the  operation/interaction of the different business functions.Strong  interpersonal and communication skills; a good team memberThe  individual must be self-motivated, flexible to adapt to the changing  environment.Must  be fluent in both written and spoken E",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Mysql数据库管理员,数据,,“前程无忧”51job.com（上海）,上海,,无,"Job  Activities: Manage  month end closing pulse consolidation, closing result tracking &  post-closing reporting and analysis work.Prepare  the deck for monthly operating review, identify issues and coordinate with  various functions to come up with the corrective actions.Supervise  the APAC standard reporting package.Track  the financial result for key initiatives including NPI revenue, E2R, E4E, MMS,  etcProvide  financial planning & analytical support for HBT APAC functional team.Monitor  key economic indicators for the business and provide financial analysis to HBT  leadership on key business trends and market environment.Analyze  business performance (year-over-year, sequentially, vs. forecast) in various  formats to facilitate internal financial discussions or decisions to drive  business results and to fulfill Corporate requirements.Closely  connected with GFC team to get updated on new automation tools/ analysis pack.Support  Data analytics and Automation projects implementation in APAC region.To  support ad hoc needs per management requirement.Requirement: 3-5  years working experience in Multi-national Company. Business experience in  either financial accounting or financial analysis / reporting role.Excellent  skills in excel and ppt. Be able to learn advanced automation toolsBachelor  degree in Accounting/Finance & relevant accounting professional accounting  qualification (CPA, ACCA, ACA or equivalent) or MBA is a PLUS.High  financial analytical skills with good business acumen and understand the  operation/interaction of the different business functions.Strong  interpersonal and communication skills; a good team memberThe  individual must be self-motivated, flexible to adapt to the changing  environment.Must  be fluent in both written and spoken E",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TEG04-腾讯微校数据产品经理（深圳）,数据,,深圳市腾讯计算机系统有限公司,深圳,5.0,本科,						负责腾讯微校产品策划，能根据市场需求完成基于微信的智慧校园平台产品及垂直场景功能的规划和设计，主导产品的需求分析、设计及跟进上线，对产品质量及用户体验负责； 深入理解并把握学校/政府级客户的需求，优化与改进现有产品，解决用户痛点，提高产品体验；寻找行业上下游合作价值点，能设计并推进合作方案，提升产品竞争力。具有B端/SAAS/PAAS/教育信息化产品工作经验者优先考虑；熟悉微信生态，对教育行业有深度理解，能够主动探索，挖掘用户需求，持续推动产品优化； 具备较强的解决方案提炼、输出和宣讲能力，同时有较强项目管理能力，能够有效的进行团队间的业务合作； 具备较强的数据化、产品化意识，能够通过数据和痛点分析，制定相应策略； 善于学习，有较强的业务理解能力和商业敏感度，思维活跃，有创新思路，能针对校园行业特点有前瞻性布局。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,资深数据分析师（盈亏分析收入管控方向）,数据,24000.0,饿了么,上海,5.0,本科,"岗位职责: 1,可以独立对接底层数仓进行数据口径清理，熟悉数据结构，精通SQL代码编写，能够按照需求进行中间表建立，并可以实现数据聚合的报表数据定推，具有丰富的中间表维护更新经验，能够操盘数据和报表迁移工作； 2,精通建模基本工具及语言，了解掌握通用模型，能够通过对海量数据的清晰模型建立，梳理确认最优模型数值输出； 3,搭建影响盈亏指标各项细分纬度跟踪报表,联合BI部门完成开发取数和各项分析工作； 4,专题性不定期分析新零售各类业务的收入,及支出情况,发现收入、支出变化的原因; 5,综合使用市场调研、大数据分析(描述性、 建模)等方法找到收入增长的机会,并推动业务落地; 6,通过对数据分层分纬度的分析，针对某个业务的盈亏情况及业务贡献度, 评估业务的价值,给出下一步盈亏优化方向的建议; 7.有抽佣定价及收入分析，物流定价及收入成本分析，营销广告定价及收入分析等收支策略制定和落地分析工作经验加分 任职要求: 1,统计、数学、信息技术,经济,金融相关专业,本科及以上学历,3年及以上工作经验; 2,互联网数据分析师、商业分析经验者优先；计算机及数学分析背景优先; 3,极强的好奇心和探索欲望,学习能力强,对新事物保持敏感,逻辑性好; 4, 良好的数据敏感度, 能从海量数据提炼核心结果,  并用简洁而清晰的方式呈现数据； 5,【非常重要】熟练使用分析工具(SQL,EXCEL，Python等),SQL能够独立完成代码编写，中间表/临时表建立，对底层数据结构能够迅速理解把握，根据业务分析的需求独立且高效地完成数据的提取及分析 6,结果导向意识，有为过程鼓掌为结果买单的精神，以工作交付为***要务。适应快节奏，高成长性的工作环境。",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,数据营销岗（数字化获客方向）,数据,1750.0,招商银行股份有限公司,深圳,2.0,本科,						岗位职责:1.参与制定零售基础客群经营及发展策略，负责制定客群拓展计划、发展计划、经营计划，实现零售基础客群的价值经营；2.负责推动基础客群的价值挖掘，开展细分客群的目标管理、策略经营、模型优化、产品设计、营销规划及渠道管理等工作；3.负责推动基础客群的变现经营，开展变现需求的深度挖掘，提出变现产品的设计与营销并推动落地实现，提升客群贡献度；4.负责指导分行制定零售基础客群本地经营发展规划，参与相关分行直营建制的规划与辅导并组织实施，提升效能。 任职资格:1.35周岁以下，两年及以上工作经验，具有全日制本科及以上学历；2.熟悉客群管理、数据库经营、市场营销等相关工作，具有客群价值挖掘、客群分析等相关工作经验；3.具有较强的市场敏感度，了解互联网客户特性，具备客群经营管理能力；4.性格开朗，乐于沟通，具备高度的责任心及执行力。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
