,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Fpga,Dsp,Protel,Eda
10,硬件开发工程师,硬件开发,20000.0,深圳市优博讯科技股份有限公司,深圳,5.0,本科,、负责项目中硬件设计及跟踪部门的进度和质量；2、协助驱动软件工程师完成硬件相关功能的调试，负责产品生产样品制作过程中相关问题的处理；3、有扎实的模拟电路，数字电路工地，有无线方面的设计经验更佳；4、元器件选用、认证、提供测试方法等；5、贴片、量产、维修等方面技术支持。任职要求：1、掌握通信相关基础知识熟悉硬件设计，熟悉ARM体系、DSP、Memory、Audio、LCD、USB、Power等电路；2、硬件EMC抗干扰设计经验，对硬件设计的常用电话包括电源部分，逻辑控制，高速电路，音视频电路等有丰富的设计经验和理论基础，具有较强的动手能力，熟悉相关仪器仪表的使用；3、具有pos机/智能手机、PMP/手持设备、车载导航VCD/DVD开发经验者优先。,0.0,0.0,1.0,0.0,0.0
11,嵌入式软硬件开发,硬件开发,9000.0,武汉中森交直科技有限公司,武汉,2.0,大专,负责消防应急疏散指示系统上位机软件开发；负责消防应急疏散指示系统中的标志灯具控制板的软硬件开发；负责消防应急疏散指示系统与火灾报警控制器之间的通信调试等，并精通485、232、CAN、MODBUS等通信协议；负责集中电源控制系统的软硬件开发。任职要求：有消防应急疏散指示工作经验者优先。,0.0,0.0,0.0,0.0,0.0
12,高级硬件开发工程师,硬件开发,17500.0,深圳泰山体育科技股份有限公司,深圳,3.0,本科,"工作职责：1、从事体育器材物联网的硬件开发及相关工作，参与系统方案设计、评审；2、完成项目要求的总体方案、器件选型、原理图设计、印制版图绘制、调试、测试维护优化等工作，并对设计质量负责；3、编写元器件清单，提供器件技术说明书、加工要求，提供元器件和电路板的测试参数；4、不同部门间任务协作，如：结构部、软件部任务沟通，采购部物料规格确认、进度跟进等；5、负责产品的认证工作，如FCC、CE、3C等；6、上级安排的其他工作，如：新产品调研，竞品分析等。任职资格：1．计算机、电子类、自动化相关专业 ，三年以上相关工作经验；2．有扎实的模电、数电基础，能够独立进行模拟、数字电路的设计 ；3、具有Android主板硬件开发经验4．熟悉51、ARM等常用微处理器，具有单片机硬件系统设计经验，能够根据具体设计要求进行硬件规划、元器件选型，熟练使用硬件绘图工具软件，有物联网电路设计经验者优先；5、具备扎实的AC/DC, DC/DC开关电源设计经验，熟练使用示波器，频谱仪等电子硬件开发仪器，有较强的调试、动手能力；6、具备EMC/EMI方面的知识及经验，熟悉3C，FCC，UL，TUV，IEC安全标准的优先考虑。7、优秀的书面及口头表达能力。8、具备团队合作精神。9、自我规划和执行能力强，结果导向，需按时按质完成任务。",1.0,0.0,0.0,0.0,0.0
13,嵌入式硬件开发工程师,硬件开发,12500.0,北京德辰科技股份有限公司,天津,2.0,本科,、能独立完嵌入式硬件设计和调试；2、熟悉嵌入式处理器/DSP/FPGA/模拟电路等设计；3、熟悉TI DSP，XILINX FPGA等器件；4、精通常用PCB绘图仿真等工具；5、具有较强的英文读写能力；6、具有良好的沟通表达能力和团队协作精神；7、电子、通信类相关专业本科及以上学历，具有相关工作经验者优先。,0.0,1.0,1.0,0.0,0.0
14,硬件开发工程师,硬件开发,9000.0,佛山市顺德区锜科电子科技有限公司,佛山,3.0,本科,、本科或以上学历，年龄22-45岁，电子信息技术或相关专业毕业；有电子产品硬件设计经验，有较强的电路分析和设计能力。2、精通模拟电路和数字电路，具备硬件调试、测试和验证能力。3、熟练使用常见PCB辅助设计软件工具和多层板设计经验，精通产品的硬件研发和设计工作（包括：原理图设计、PCB设计等）。4、熟悉单片机应用，并有相关的项目设计开发经验。5、具备良好的沟通协调和学习能力及团队合作精神，严谨务实的工作态度。6、有燃气控制器相关开发工作经验优先。,0.0,0.0,0.0,0.0,0.0
15,硬件开发工程师,硬件开发,10000.0,华景传感科技(无锡)有限公司,无锡,2.0,本科,职位描述： 1、设计电子硬件原理图及PCB； 2、进行硬件测试；3、独立完成研发项目中的硬件电路工作，协调整体项目进度；4、负责进行硬件选型，设计原理图，调试，负责项目研发中硬件部分的进度控制；5、完成开发文档的整理和归档工作；6、配合软件工程师对产品进行调试。 任职条件： 1、电子技术或相关专业，统招本科及以上学历； 2、熟练至少一种电路设计软件； 3、熟悉数字电路、模拟电路； 4、熟悉PCB设计开发流程，具有丰富的PCB设计开发经验；熟悉电子产品开发流程，能够独立完成电子产品的硬件设计；5、责任心强，有较好的沟通能力和团队合作精神。,0.0,0.0,0.0,0.0,0.0
16,硬件开发工程师,硬件开发,9000.0,成都市登禄电力科技有限公司,成都,3.0,本科,、参与项目的技术沟通，可行性分析；负责产品硬件开发方案的制定与修改；2、负责项目硬件设计，包括总体方案、详细设计方案、原理图设计、样机调试等；3、负责分析解决项目中与硬件相关的技术问题，按时完成项目开发计划，保证项目质量； 4、完成上级主管安排的其它工作任务。任职要求：1、本科以上学历(有丰富的开发经验者适当放宽)，3-5年相关工作经验；2、专业：电子信息工程及自动化；计算机科学与技术；电子电路相关类专业；3、具有良好的道德观，诚实守信，坚韧不拨，有强烈地实现自我价值的愿望。4、具有ARM处理器以及FPGA开发使用经验;5、熟悉PCIE、SRIO等高速总线的硬件设计与应用;6、熟悉RS485、RS232、电以太网口，光以太网口等通讯接口的设计; 7、具有扎实的模拟/数字电路的理论和实际经验，熟悉嵌入式系统原理，熟悉硬件开发流程，具备相关项目的独立开发经验。,0.0,1.0,0.0,0.0,0.0
17,硬件开发工程师,硬件开发,17500.0,深圳市维海德技术股份有限公司,深圳,3.0,本科,职责范围：  1、负责硬件方案设计、原理图设计、PCB设计；2、负责电路设计、调试；3、负责单板硬件测试和各种实验；4、负责产品的转产及维护。岗位要求：1、精通模拟、数字电路设计;2、对EMI测试有一定的了解，至少会一种原理图和PCB工具；3、懂电脑文书作业软件的操作，能看懂英文规格书；4、工作责任心强，有上进心，善于沟通、品质端正；5、熟练使用CADENCE优先。薪资福利：1、公司实行五天八小时工作制，购买五险一金，提供工作日餐补、房补、交通补贴；2、依法享有法定节假日、年终奖、年度调薪、带薪年假、节日礼品、员工旅游、 健康体检等福利；,0.0,0.0,0.0,0.0,0.0
18,电梯软硬件开发工程师,硬件开发,4500.0,北京凯瑞通电子技术有限公司,北京,0.0,无,						1、熟悉C语言，熟悉51单片机；了解485通讯，can总线通讯2、熟悉STM32 或 ARM CortexM3、M4F或其他常用MCU中的一种体系架构平台；3、有软件开发经验，有独立开发能力；4、有良好的编程习惯和文档习惯；5、有一定硬件基础；6、有过开发工控，电梯，ic卡 系统优先；7、良好的团队合作精神、良好的沟通协调能力。																		,1.0,0.0,0.0,0.0,0.0
19,电子硬件开发工程师,硬件开发,12500.0,苏州咖博士咖啡系统科技有限公司,苏州,3.0,本科,"岗位职责：负责新产品电路原理图开发设计、电路板调试、功能样机测试、EMC整改、试产跟进等工作负责电子元器件的选型、打样；PCB板厂的沟通配合认证机构跟进新产品各国认证负责所主导新产品转入量产前及量产后所有问题的记录、分析并通过维护《日常反馈问题点跟进表》逐个解决负责编写相关技术文档, 参与相关质量评估、确保设计、测试工作按时保质完成执行所在部门指派的其他任务任职要求：计算机、电子、通信等相关专业毕业，本科及以上学历，3年以上工作经验熟悉嵌入式系统硬件电路开发或复杂小家电控制板开发工作熟悉各国认证要求，具备一定的EMC经验，具备EMC整改经验熟悉cortex-M0、M3、M4应用开发，精通汇编语言/C语言开发者优先；熟悉电机控制系统开发经验，有全自动咖啡机或按摩椅项目经验具有较强的硬件集成电路板设计调试等动手能力和解决问题的能力沟通能力强，能承受一定的压力。务实有责任感良好的沟通能力及问题解决能力,思维严谨英文听说能力良好者优先",1.0,0.0,0.0,0.0,0.0
20,手机硬件开发工程师,硬件开发,13000.0,深圳市康凯斯信息技术有限公司,深圳,3.0,大专,岗位职责：1.方案设计、产品原理图设计等，BOM的制作，layout检查；2.对PCB板和整机进行调试，完成各项调试报告和测试报告，提供相应的生产技术支持；3.熟练掌握硬件产品开发流程，熟悉项目管理；熟练掌握硬件产品电路设计的各种工具，熟练硬件的调试测试；对生产工艺、安规设计等有一定的了解；4.硬件开发，电路设计和开发；5.项目进度安排跟踪，风险控制，协调各部门工作，按时出样机和转试产；6.有智能手机设计经验优先。任职资格：1.大专以上学历，电子通信相关专业；2.3年以上手机或通话平板硬件开发经验；3.工作认真，积极向上。,0.0,0.0,0.0,0.0,0.0
21,（急聘）硬件开发工程师,硬件开发,8000.0,湖南比扬医疗科技有限公司,长沙,2.0,大专,岗位职责：1、负责产品项目的需求分析，设计方案，硬件选型与评估；2、负责项目中主要功能硬件电路的原理图设计、PCB设计和相关技术文档；3、负责产品相关图纸确认、样机BOM制作；4、负责产品样机焊接、装配、调试工作；5、负责解决产品开发过程中遇到的问题以及生产过程中遇到的问题； 6、协助项目管理人保证项目的质量，参与软件系统的设计、开发、测试等过程。任职资格1、专科以上学历，电子类相关专业，相同岗位3年以上工作经验；2、熟练掌握Office办公软件，熟练使用AD、PADS或cadance制图软件；3、掌握模拟数字电路基础，熟悉常用电子元器件的使用及性能，掌握单片机及外围电路设计；4、有医疗电子产品硬件开发经验者优先，熟悉产品开发流程；5、有EMC电磁兼容设计以及处理经验；6、善于沟通协调，良好的团队意识。,0.0,0.0,0.0,0.0,0.0
22,硬件开发工程师,硬件开发,6000.0,广东大榕树信息科技有限公司,东莞,1.0,大专,岗位职责：1. 根据产品需求，提出硬件解决方案；2. 负责硬件的设计实现，包括器件选型、原理图和PCB设计；3. 负责系统调试、测试，处理系统故障，解决用户问题；4. 负责编写产品设计方案、产品规格书、作业指导书等设计及工程文件；5. 协助制造和质量部门解决技术问题。6. 负责EMI/FCC/CE等相关认证；任职要求：1. 大专及以上学历，电子信息、通信、计算机及相关专业；2. 熟悉模拟电路、数字电路设计，对各种传感器和电子元器件的特性有较全面的了解；3. 熟悉电路原理图设计，PCB Layout以及单板调试，熟练使用画版软件完成多层PCB 设计；4. 能独立阅读英文相关资料。5. 有高速电路设计经验优先。6. 熟练使用万用表，示波器等各种测试仪器，熟练使用烙铁和风枪等工具；8. 有责任心，敢于担当，工作积极主动，具有良好的沟通技能和团队合作精神；福利待遇：1、有社保；2、每年最少一次员工旅游；3、生日礼金、节日礼品或礼金；4、有加班费；5、有出差补贴；6、带薪年假、带薪病假；7、年终奖；8、享受高新技术企业科技人才入户和小孩入学优待政策。工作时间：8：30-11：45；13：15-18：00 大小周休息 法定假按国家规定园区的公司环境优美，有免费健身房提供，公司倡导“快东工作，健康同行”的工作理念，寻找志同道和的您加入大榕树。欲详细了解本公司，请登陆：www.bbniot.com广东大榕树信息科技有限公司成立于2003年，注册资金500万元，是一家主营“动力环境监控、服务器、网络监控产品”的研发与销售的高科技信息化产业公司，产品已成功应用于通讯、电力、教育、金融、政府机构、路桥、能源、制造等行业，深受用户的好评。公司拥有自主核心知识产权，其中15个专利、18项软件著作权和2个注册商标，公司相继被评为省市民营科技企业、双软企业、专利培育、专利试点企业，并获得省公安厅的安防资格证书。此外，公司还获得了国家和地方科技创新基金、国家企业特派员企业的立项。公司一直以“诚信、热情、拼搏、创新”的理念在发展和壮大公司，视人才为公司第一资源，为员工提供舒适的工作环境、良好的工作氛围，合理的薪酬，社会保险，提供各种培训，并为优秀员工提供入户条件，为员工提供可持续自由发展的平台，让员工能更自由充分发挥自己的专长，为个人、公司、社会创造更多的财富。,0.0,0.0,0.0,0.0,0.0
23,PCB硬件开发工程师8000-15000,硬件开发,11500.0,杭州新爱电子有限公司,杭州,3.0,大专,岗位职责1、在上级的领导监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、根据项目进度和任务分配，完成符合功能要求和质量标准的硬件开发产品；3、依据产品设计说明，设计符合功能要求的逻辑设计、原理图，熟练设计PCB两层板和多层板；5、编制项目文档及质量记录。任职资格1、电子、通信、自动化或计算机类相关专业本科及以上学历；2、熟悉各类电路及PCB设计工具，熟悉模拟电子技术，例如运放的放大和小信号分析等；3、具备优秀的人际沟通能力、项目判断能力和团队管理及指导能力；4、熟悉电子产品的开发及相关业务领域的知识；5、3年以上的硬件设计工作经验；6、人品端正，工作细心，能够吃苦耐劳，有强烈的责任心。职能类别：										硬件工程师																			数据通信工程师									关键字：带薪年假硬件工程师电子工程师数码产品测试工程师高级工程师,0.0,0.0,0.0,0.0,0.0
24,硬件开发设计工程师（急聘）,硬件开发,7500.0,常州中海电力科技有限公司,常州,3.0,本科,）两年及以上工作经验；2）电力、电子行业，如：光伏、电源、风电等新能源行业；3）精通电力电子、电气原理等专业知识；4）熟悉使用一种或多种电路绘图设计工具（Altium、PowerPCB、Cadence Allegro、Protel等），根据产品要求设计原理图及PCB布线；熟悉数字电路、模拟电路设计，熟练操作Prote199se、Autocad、PADS等设计软件；5）有大功率逆变电源、UPS、变频器、开关电源等电力电子产品开发经验工作内容：1、参与预研项目的技术评审，根据需求完成预研项目的硬件设计和调试任务；2、能对电路和拓扑进行仿真分析、设计计算、测试，并提供相应的报告；3、负责新产品的设计、调试、制样等；待遇：1、试用期3个月，试用工资5000-7000元工作地址：江苏省常州市新北区镜湖路28号联系电话：0519-81180967交通：1、乘坐45路/59路/27路公交车，至黄河路乐山路站下车，步行350米，常州凯达院内2、乘坐528路公交车，至乐山路镜湖路站下车，步行100米，即到。,0.0,0.0,0.0,1.0,0.0
25,硬件开发工程师,硬件开发,6000.0,安徽新飞居博士科技有限公司,合肥,2.0,大专,"负责智能设备研发设计；2.负责智能调光设备完善；3.负责恒流电源研发设计；4.负责通讯电路研发。任职资格：1.本科(含)以上学历,具备计算机、自动化、电子、通讯专业：2.至少3年以上工作经验；3.精通计算机接口、网络原理、通讯原理、数字电路、模拟电路；4.具有电子产品硬件开发经验，硬件设计、调试、测试能力；5.熟练使用C编译器，进行智能设备的编程及调试；6.具有无线通讯芯片研发和使用经验；7.熟悉开关电源设计和开发经验；",1.0,0.0,0.0,0.0,0.0
26,硬件开发工程师,硬件开发,5250.0,西安长城华韵电子科技有限公司,西安,0.0,大专,从事产品硬件系统的开发工作，嵌入式系统软件编写与调试等工作；b.嵌入式系统软件编写与调试等工作；c.负责在线维护中的相关故障处理；d.参与技术平台的建设和总结。任职要求：a、电子相关专业，统招专科以上学历；b、熟练掌握嵌入式系统软件设计方法和C/C++语言；c、能正确理解常用元器件的各项指标，并熟练应用；d、对PCB布局布线有一定认识；e、思维缜密，工作严谨，能承受工作压力，具备良好的个人沟通能力与团队协作精神。福利待遇：1、工作时间：周一至周五，早上9:00-下午18:00；周末双休，国家法定节假日正常休息；2、签订劳动合同公司统一购买六险（除国家正常五险以外，额外为员工购买补充商业医疗保险）一金；工作地点：西安,1.0,0.0,0.0,0.0,0.0
27,逆变器硬件开发EMC工程师,硬件开发,17500.0,一巨自动化装备（上海）有限公司,上海,0.0,本科,岗位职责：1， 负责逆变器硬件平台产品的EMC前期设计，包括滤波器设计、抗扰设计、静电防护、屏蔽设计等基本概念；2， 负责逆变器硬件平台产品的EMC各类标准测试，包括setup建立、负载设计、评价指标和监控方法并输出EMC测试报告；3， 负责客户项目EMC问题解决和EMC整改；4， 负责定义整车线束规范和整车线束的检查。岗位要求：1， 电气工程、汽车电子、机械电子类专业，具有本科或者以上学历，研究方向为EMC优先考虑；2， 3年以上EMC测试、整改和开发经验；3， 熟悉逆变器产品的基本功能和设计原理；4， 熟悉汽车电子产品的零部件及整车EMC标准和体系；5， 具有良好的沟通能力和问题解决能力；,0.0,0.0,0.0,0.0,0.0
28,硬件开发工程师,硬件开发,17500.0,深圳市速普瑞科技有限公司,深圳,2.0,本科,主要职责：1、负责电能测试仪、示波器、频谱分析仪等的开发和调试2、具有扎实模拟电路、数字电路基础知识；能够胜任应用电路的元器件选型和参数计算3、熟练掌握各种仪器，比如信号源、频谱仪、示波器等4、熟悉DSP编程，对傅里叶分析有深刻理解5、有万用表、示波器、信号发生器相关项目开发经验的优先6、具有团队合作精神，能吃苦，学习能力强。任职要求：1、电子信息工程、自动化、计算机等电子类相关专业，本科学历以上。2、两年以上工作经验。,0.0,0.0,1.0,0.0,0.0
29,硬件开发助理工程师,硬件开发,4250.0,徐州珂尔玛科技有限公司,徐州,0.0,大专,工作范围及业务对象：矿山企业综合自动化、信息化、监测监控。1.协助产品的硬件方案设计和PCB画图设计；2.协助公司新产品的开发、创新；3.协助编写设计过程文档，设计输出，及时编写各种文档和标准化资料。4.能够熟练应用设计PCB所用的软件，Protel，PADS等应用软件。5.熟练掌握单片机硬件应用，熟悉51等系列单片机。6.熟悉设计PCB走线强电弱电EMC的知识。,0.0,0.0,0.0,1.0,0.0
30,科研助理（化学/软硬件开发/自动化相关专业）,硬件开发,6250.0,深圳市长隆科技有限公司,深圳,0.0,本科,岗位职责：1.参与水质分析仪器开发。2.负责仪器的安装、调试、维修等工作；3.完成领导安排的其它工作任职要求：1.本科及以上学历，化学、化工、机械、软硬件开发、自动化、仪器等相关专业；2.熟悉吸收光谱原理、仪器结构或软硬件架构等优先；3.有工作经验者优先4.工作态度良好，优秀的沟通协调能力；5.具有团队协作意识。,0.0,0.0,0.0,0.0,0.0
31,硬件开发工程师,硬件开发,14166.67,武汉市豪迈电力自动化技术有限责任公司,武汉,3.0,本科,"）大学本科以上学历，电力系统自动化或电气工程相关专业，优秀应届毕业生亦可；2）具良好的数字逻辑电路和模拟电路基础，较强的电路分析能力；熟练掌握基本电源电路、信号取样调理、AD/DA转换、常见通信接口；3）具有一定的电子电路设计、开发、测试经验；4）熟悉单片机技术，熟悉硬件设计和嵌入式系统编程；5）熟悉各种电子元器件性能及掌握电子器件发展动态；6）具硬件设计及实现经验,有独立组织、承担设备硬件开发经验者优先；7）爱岗、敬业，工作主动，工作责任心强，能随时服从公司领导的工作安排。",0.0,0.0,0.0,0.0,0.0
