,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Excel,Cad,Pmp,Word,Ppt
10,商务经理（项目管理）,项目管理,,瑞银企业管理（中国）有限公司无锡分公司,无锡,5.0,本科,"？ 2+ years of relevant experience in Operations or experience in professional firms/financial institutions preferred ？ Previous experience in or interaction with overseas stakeholders in:  -Business management (BM) -Operations  -Project Management  ？ Fluency in reading and writing business e-mails (English qualification will be considered)Proficient in Microsoft Excel, Word Document and PowerPoint ？ Good analytical skills, quick learner and attention to detail ？ Aptitude for understanding technology and drive process improvements  ？ Independent and able to work with minimum supervision ？ Persistence is a key skill. The role requires frequent follow-up and interaction with junior and senior staff of the bank.  ？ High level of energy and commitment to support across GCOO teams. An ability to be flexible and proactive in solving problems and issues for business management staff. S",1.0,0.0,0.0,1.0,0.0
11,项目管理专员（合肥）(001808),项目管理,7500.0,安徽泽众安全科技有限公司,合肥,3.0,无,						岗位职责:1、结合理论和组织工作实际，制定项目管理模式、方法、流程、规范，推动落地执行并持续改进；2、总结项目管理***实践、工作指导书等，制定各种项目管理有关模板，推广应用并不断优化改进；3、收集、分析项目管理信息化需求，推动项目管理信息化系统的持续优化和完善；4、协调、组织、推进项目管理全过程有关工作；5、推进项目实施工作组织、人员资源安排、工作考核、项目经理培训等的优化、调整、开展；6、对项目体系进行周期性度量分析，编制分析报告，辅助领导决策；7、其他项目管理有关工作。 任职资格:1、本科及以上学历，硕士优先；2、服务意识强，办事效率高，有热情；3、责任心强，认真负责、勇于承担责任；4、有5年以上IT项目管理相关工作经验；5、有IT项目管理、保密资质管理、cmmi等项目管理经验优先。,0.0,0.0,0.0,0.0,0.0
12,科研项目管理经理,项目管理,10000.0,烟台睿创微纳技术股份有限公司,烟台,5.0,本科,按照公司规定，做好科研项目管理，包括计划、组织和控制工作，能有效对项目的进度、质量、成本进行控制并及时报告；做好项目相关部门的沟通衔接工作，及时、高效处理相关问题，确保项目顺利实施；运用项目管理专业知识，修订完善公司项目管理制度。任职资格：本科及以上学历，理工科专业；三年以上集成电路行业相关行业工作经验，已取得项目管理师资格证，系统学习科研项目管理理论知识，熟悉项目管理方法和管理工具；具备优秀的项目推进能力，良好的沟通协调能力，强烈的责任心与敬业精神；熟练掌握Ppt、Word、Excel、Project、Visio等工具。,1.0,0.0,0.0,1.0,1.0
13,项目管理部助理,项目管理,5000.0,深圳市森磊装饰设计工程有限公司,深圳,0.0,无,、负责整理编辑项目管理部各类报表，对各类文件进行分类存档管理；2、负责项目管理部与客户的合同、资料、文件签署管理，并协助做好各类款项追缴工作；3、协助项目管理部领导做好与在建项目负责人、各职能部门的日常对接，配合其完成项目管理工作；4、协助项目管理部统计项目实施推行的进度，根据项目计划，做好督促与考核管理；5、领导安排的其他工作。任职条件：1、土木工程、建筑学、工程管理等相关专业；（亦考虑相关专业优秀毕业生）2、能熟练使用办公自动化（office），熟悉CAD制图软件及BIM软件者优先考虑；3、具备良好的口头及书面表达能力；4、具备较强的沟通协调能力、交际能力和灵活应变能力；,0.0,1.0,0.0,0.0,0.0
14,项目管理工程师,项目管理,12500.0,深圳市金溢科技股份有限公司,深圳,2.0,本科,岗位职责： 1、跟进研发项目从策划、立项、开发、试产、量产的整个过程，分配资源、控制进度，协调处理项目各方遇到的问题； 2、制定项目开发计划文档，负责项目需求沟通并监督产生各阶段项目文档，保证文档的及时、完整和规范； 3、进行项目成本、时间、风险和质量管理； 4、向上级汇报项目的进展情况，需求变更等所有项目信息。  任职资格： 1、本科或以上学历，计算机、通信、电子、交通等相关专业，有PMP证书者优先； 2、有两年或以上年限的项目管理经验，具有车载设备项目管理经验优先； 3、具有项目管理理论与经验，熟悉项目管理方法和管理工具； 4、优秀的组织协调能力，项目控制能力，良好的沟通协调能力，具有良好的团队合作精神。,0.0,0.0,1.0,0.0,0.0
15,项目管理(PA),项目管理,7000.0,上海聚益信息技术有限公司,上海,2.0,本科,"护客户发送的订单及时维护SAP数据;2协助计划及各部门完成订单交付，保证客户满意度;3.对客户日常提出的问题，需及时回应并协调内部相关部门解决, 如客户设计变更等;4.解决项目订单交付过程中遇到的问题,进行原因分析;5.协同采购询价部门持续跟进供应商减价，短缺物料跟踪、质量等问题、确保供应商品质、按期交货;任职要求：  1. 2年或以上电子行业的经验（外资） 2.良好的英语",0.0,0.0,0.0,0.0,0.0
16,项目管理专员,项目管理,4000.0,云南聚天投资有限公司,昆明,1.0,大专,岗位要求年龄：20-35岁；学历：大专及以上学历；有相关管理工作能力者优先考虑；岗位职责负责项目人员的日常管理；负责甲乙双方的对接、沟通等；负责领导分配的工作任务；薪资福利待遇1.提供五险，综合收入3500元以上，有节日礼金，年终奖，带薪年假；2.表现优异者提拔为管理干部，并有机会入股公司与公司共同发展。四、工作时间早8：30-晚5.30 午休1个半小时，双休，国家法定节假日都放假。五、工作地址官渡区官南大道大润发商业广场写字楼1栋7楼7,0.0,0.0,0.0,0.0,0.0
17,项目管理岗（化学、药学、翻译）,项目管理,16666.67,成都中核高通同位素股份有限公司,眉山,5.0,本科,：国际间技术合作与交流主要包括:放射性同位素制备及应用、放射源制备及工业应用等方面技术合作与交流。如国际间技术转让谈判、实施等:2：配合咨询公司开展放射性原料药、放射性药品及放射性医疗器械欧盟、美国注册及认证；含放射源仪器仪表、放射性物质运输容器国际认证等。3.放射性核素、放射源及工业应用研发。岗位要求药学、化学、放射化学及相关专业本科以上，良好的英语口头及书面翻译及写作能力。,0.0,0.0,0.0,0.0,0.0
18,项目管理专员（韩语翻译）,项目管理,6500.0,宁波杰克龙精工有限公司,宁波,0.0,本科,、执行韩籍专家随行翻译工作；2、负责韩籍专家的接待安排等常规事务；3、组织韩籍专家负责研发项目实施推动；4、跟进落实韩籍专家负责的研发项目进度，总结整理实践结果；任职要求：1.本科及以上学历，韩语专业毕业，韩语等级5级以上；2.具备较强的韩语口语表达能力，具备较强的沟通表达及随机应变能力，可接受优秀应届毕业生。职能类别：										韩语/朝鲜语翻译									关键字：韩语朝鲜语项目管理韩语翻译,0.0,0.0,0.0,0.0,0.0
19,VOC项目管理工程师,项目管理,6000.0,美埃（中国）环境净化有限公司,南京,0.0,本科,、负责VOC项目管理，协助销售处理现场问题；2、产品质量问题处理；3、报告反馈问题。任职资格：1、大学本科及以上学历；2、熟练使用办公软件，会CAD制图，懂电路；3、有相关工作经验者优先。,0.0,1.0,0.0,0.0,0.0
20,水处理运营项目管理,项目管理,8000.0,安徽马钢欣巴环保科技有限公司,马鞍山,5.0,大专,【职位描述】:1、水处理系统运营项目管理负责人，负责带领项目现场服务团队处理系统运营工作；2、负责水处理现场运营服务团队的建设与管理；3、协助销售部进行焦化废水处理及工艺化学品市场的推广与开拓；4、协助并完成总经理安排的其他相关工作；5、现场工作人员技能培训。【任职资格】:1、化学工艺、环境工程、水处理等专业大专及以上学历，并掌握水处理工业知识（焦化废水处理行业经验丰富的可放宽专业限制及学历要求）。2、从事水处理服务、现场服务及团队管理工作5年以上，或有5年以上水处理相关工作的管理经验，有项目工作经历，具有管理、技术和商务的能力，能带领团队完成运营管理目标。3、具备良好的人际沟通能力和综合分析能力。4、有较强的组织、沟通、协调、公关、学习能力。5、本职位根据工作安排，可能需要驻外。6、年龄在30—45之间。7、要求敬业度高，具备吃苦耐劳的精神。8、其它技能要求：汽车驾驶，office软件应用、英语阅读。,0.0,0.0,0.0,0.0,0.0
21,项目管理,项目管理,18500.0,海南大圣娱乐有限公司广州分公司,深圳,1.0,本科,【工作职责】1、根据项目计划和时间跟进项目制作，及时协调资源；2、负责推动团队日常执行工作，负责进度跟踪和控制，确保工作按计划完成；3、协助主策划优化游戏制作和开发的流程。【工作要求】1、 本科及以上学历，专业不限；2、 1年及以上游戏项目管理经验，对游戏制作的各方面有深入了解，熟悉游戏开发过程及人员分工；3、 为人负责、积极主动，具备良好团队合作精神；4、 沟通协调能力强，有团队合作精神，具备管理能力，有较强的抗压能力。5、【加分项】英语能力良好，有儿童教育游戏经验者优先。,0.0,0.0,0.0,0.0,0.0
22,临床前项目管理副经理,项目管理,12500.0,南京英派药业有限公司,南京,3.0,本科,职位： l 临床前项目管理专员/副经理   汇报对象： l 运营副总裁   工作地点： l 南京   岗位职责   l 负责协调临床前包括药化、生产、毒理、专利、等各部门之间项目实施的协作，保障项目进度和质量。 l 负责项目计划、流程、SOP和模板等的制定和修订，项目预算制定及执行。 l 负责定期组织项目例会，向公司管理层汇报项目进展。 l 负责组织召开项目讨论会，讨论项目实施中存在的技术难题、开发风险，撰写项目关键评估报告。 l 负责合同的签订及跟踪 l 负责项目数据收集管理归档，协助收集和审阅与项目相关的最新文献信息等，为项目提供信息支持。 l 参与审核相关实验方案和试验报告，组织并参与项目讨论。 l 部门交办的其他事宜。   任职条件   l 药学/生物/化学/分析等相关专业，本科及以上学历，硕士毕业者优先。 l 3年以上新药研发经验。 l 熟练的英语阅读和书写能力，熟练使用project等office相关软件。 l 了解新药研发药化、合成、制剂、质量研究、药理毒理评价以及临床等相关知识，熟练掌握新药研发流程及国内外新药研发相关法规和指导原则。 l 优秀的学习和文献检索、解读能力。 l 工作积极主动，主观能动性强，能够承受项目相关的工作压力； l 优秀的组织和沟通协调能力，以及文字和口头表达能力； l 优秀的计划管理和执行能力；,0.0,0.0,0.0,0.0,0.0
23,项目管理专员（游戏方向）,项目管理,9500.0,深圳市德科信息技术有限公司,杭州,1.0,本科,【岗位职责】1. 协助项目经理/产品经理做好项目的版本发布；2. 细化和落实开发计划，跟进任务状态，推动任务前进，并向项目经理汇报进度和问题；3. 推动项目内流程的改进和落实； 4. 处理项目中发生的临时问题和一些常规沟通，协助项目经理发现和预防风险。5. 协助项目经理组织和跟进团队建设活动。【任职要求】1. 热爱游戏，本科以上学历，一年以上项目管理相关工作经验；2. 优秀的学习能力，清晰的逻辑分析能力，对成功和失败的经验有总结思考并且有改进的意识；3. 优秀的沟通、协调能力，能快速融入团队，能清晰、准确的传达自己的想法，并敢于提出自己的想法和建议；4. 具有抗压能力和多任务处理能力；5. 具备自我激励、团队精神、责任心和工作主动性；6. 有从事过游戏开发或者游戏发布经验者优先。,0.0,0.0,0.0,0.0,0.0
24,项目管理专员（双休）,项目管理,7000.0,广东绿禾环保技术有限公司,佛山,3.0,本科,岗位职责1、新供应商的开发，评估，考核及管理；2、市场资讯的收集，分析，产品的询价，比价，议价等事宜；3、协助部门负责人进行供应链管理、成本COSTDOWN；4、整理完善供应商资料库；5、处理日常商务工作（包括合同审批、订单录入、厂商付款等）；6、负责采购合同的履行，及时协调和协助解决出现的商务问题；7、其他赋予工作任职资格1、懂相关合同法律、法规；2、具备一定的供应商开发及管理能力，具备一定的商务谈判能力3、熟练应用办公软件、ERP；4、高度的工作热情，积极进取，责任心强，有一定的抗压能力，可进行经常出差，反应速度快、执行力强，具备一定的品质意识和成本观念；5、良好的沟通协调能力及一定的谈判技巧，良好的团队合作精神工作薪酬：责任底薪（4000 - 8000） + 提成 + 激励 + 年终奖福利待遇：双休+按法定节日放假+带薪病假+社保+意外险+带薪年假+生日礼金+节日礼品,0.0,0.0,0.0,0.0,0.0
25,项目管理岗,项目管理,11500.0,武汉数字化设计与制造创新中心有限公司,武汉,3.0,硕士,．负责建立健全公司研发管理相关制度、规范、保障等体系；2．负责公司研发项目的过程管理，从项目征集、评审立项、团队组建、过程监督或中期检查、项目验收、成果鉴定、奖励申报到资料归档等的全过程管理和服务；3．负责收集整理数字化设计与制造技术领域的政策导向、科技情报、行业动态等信息，编制公司《研发进展简报》、《研发工作年报》等资料，为公司决策及项目研发提供参考和建议方案；4．参与公司研发战略规划及研发计划的制订，参与重要的研发课题申报及组织协调，参与公司重要的学术活动的组织工作等；5．配合和协助其他部门完成研发过程中的后勤保障、人力资源、财务管理、知识产权管理、科技成果转化孵化等方面的工作；6.加一个负责公司相关招标、投标、谈判等商业活动；7.领导安排的其他事宜。岗位要求1、机械设计、汽车工程、项目管理等相关专业学术型硕士学历，要求本硕毕业于学科双一流院校；2、具有扎实的项目管理理论和项目管理经验，熟悉通信、机械制造专业知识；3、为人严谨负责，具有良好的沟通能力、文字表达能力和学习能力；4、对科技项目申报有一定的理解，有过项目申报、课题研究等相关经历。在校期间发表过科技论文或专利申请者有限考虑。,0.0,0.0,0.0,0.0,0.0
26,项目管理员,项目管理,7000.0,埃夫特智能装备股份有限公司,杭州,3.0,本科,岗位职责：（1）根据公司项目情况和管理流程，进行项目全过程管理；（2）负责召开项目协调会，分析执行过程中出现和差异并提供解决方案；（3）根据立项计划，推动项目验收；（4）负责项目执行过程中预算和决算管控。任职要求：（1）本科及以上学历，2年以上制造业项目管理工作经验；（2）熟悉项目管理流程和工具；（3）具有较强的沟通能力和抗压能力；（4）能组织各部门进行问题的处理，具备决策能力；（5）英语优秀者优先考虑。,0.0,0.0,0.0,0.0,0.0
27,系统运维(项目管理),项目管理,9000.0,浙江蓝碧源控股集团有限公司,杭州,3.0,本科,岗位职责：  1、负责制定公司信息技术管理政策、流程、标准并执行，包括信息安全管控、防病毒攻击策略等等。2、负责运维体系建立和实施，设计并推进运维自动化。3、负责制定系统及数据备份策略，加强系统及数据的日常备份，定期做灾难恢复演练，确保公司信息系统的可靠性和可恢复性。4、负责项目前期的市场调研与分析工作并深入了解市场，清楚产品的品类、特性、卖点等，研究和拟定新项目的开发；5、挖掘客户需求，根据公司产品战略完成产品规划，产品需求方案；6、实时把握客户需求，与软件开发人员进行沟通对接，对项目需求分析、设计、开发、测试运营等环节进行把握，确保项目及时交付；7、负责产品上线运营，收集线上数据，不断的进行产品的迭代优化，优化，优化，再优化；8、与运营、设计师进行有效沟通，修复页面bug等。任职要求：  1、本科及以上学历，3年以上互联网行业经验；2、有2年以上软件、网络及硬件系统运维经验；  3、精通常用的运维技术，例如：网络技术、Windows系统技术、数据库管理和运维技术等，深刻明白各种系统背后的原理；4、熟悉互联网产品的开发、设计、运营等环节，有从0-1的经验；5、有较强的审美能力和对细节的把控能力，不能允许1px的偏差；6、对于业界的新鲜事物、产品运营数据等能够快速反应，并有力的进行调整；  7、良好的用户服务意识，团队合作意识强，较强的项目管理能力、沟通协调能力和资源整合能力。,0.0,0.0,0.0,0.0,0.0
28,项目管理工程师（游乐设备）,项目管理,11500.0,华强方特文化科技集团股份有限公司,深圳,0.0,无,岗位职责：1、负责在建主题公园游乐设备（如过山车、轨道车等）安装管理；2、游乐设备安装计划制定及跟踪，组织协调各部门按照项目计划推进施工；3、设备安装前期条件确认，协调设备进场；4、设备物料跟进、设备安装进度管理及质量、安全监督；5、设备安装过程中技术问题协调，提供技术支持，包含但不限于机电设备、智能化设备、音视频设备等；任职要求：1、本科及以上学历，机械设计、机电工程、电气自动化等相关专业；2、一年及以上相关工作经验，能用英语交流者优先考虑；3、熟练使用AutoCAD及各办公软件；4、吃苦耐劳，能接受出差。,0.0,0.0,0.0,0.0,0.0
29,项目管理岗,项目管理,7000.0,七彩建设发展有限公司成都分公司,成都,0.0,无,负责各项目的工程质量、进度、安全、相关资料管理等统筹安排工作；2.负责管理及协调本项目的施工队、甲方、总包、监理的外协关系及工作；3.负责对项目实施过程的全面管理，做好工程竣工的整体验收和交接工作；4.负责现场文明施工及环境安全交底，及现场环境因素、危险源的识别评价及运行控制管理；5.负责合同履约；6.完成上级领导安排的其它事情。任职资格：1.大学专科及以上，土木工程、工民建、工程管理等相关专业；2.四年以上工程管理经验或三年以上保温、防水、地坪经验;3.熟悉施工图纸、施工技术、施工学、施工结构等，熟悉操作CAD制图软件及Office办公软件，具有项目经理资质；4.熟悉工地管理各流程；5.具备较强的专业协调、沟通能力；6.能驻外。条件优秀者待遇面议,0.0,1.0,0.0,0.0,0.0
30,项目管理实习生（自动驾驶方向）,项目管理,3750.0,广州小鹏汽车科技有限公司,广州,0.0,本科,项目管理实习生（自动驾驶方向）-小鹏汽车【工作地点】广州市天河区岑村松岗大街8号小鹏汽车智能产业园【工作内容】1、协助PM管理项目进度，根据项目进度进行项目跟踪2、外部供应商的对接与管理3、协助PM编写相关项目的中英文文档、规范等，建立健全项目管理体系4、协助PM与硅谷自动驾驶团队相关人员进行沟通，跟进及分析项目存在的问题【工作要求】1、具有较强的英文写作及口语能力，英语六级以上或专四及以上、有国外留学经历优先考虑2、本科大三及以上、硕士或留学生，英语、数学、电子信息、计算机等相关专业优先考虑，有项目管理、互联网公司运营经验者尤佳3、具有良好的沟通交流能力，高效的执行力4、具有强自主性，具备优秀的逻辑思维能力和数据分析能力。5、熟练使用Office办公软件，Word、Excel、PPT等,1.0,0.0,0.0,1.0,1.0
31,项目管理（科研财务助理）,项目管理,7000.0,重庆华数机器人有限公司,重庆,3.0,大专,"、负责公司的科技项目经费使用计划及跟踪；2、负责组织开展科技计划项目经费预算编制及核算；3、负责科技项目实施过程中的经费使用协调及推进；4、配合建立及推广、执行科技项目经费管控体系；5、配合开展科技项目策划、申报、实施等工作；6、完成上级领导交给的其他任务。任职要求：1、身体健康，年龄25-35（有丰富经验的可以适当放宽），会计、金融、项目管理等相关专业，本科（含）及以上学历优先。2、熟悉科技项目经费使用的相关政策，具备科技项目申报、管理经验，了解科技项目流程优先；3、具有较强的文案写作编辑能力，较强的沟通表达能力，较好的任务计划性,具有一定的财务会计知识及经验；4、工作认真细致，较强的项目实施协调能力；5、具有科技项目经费预算编制及执行、验收相关经历者优先；6、认同企业文化，遵守企业规章制度，工作态度负责积极，具有良好的团队精神和执行力、责任心。",0.0,0.0,0.0,0.0,0.0
