,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,C,Linux,Ip,Excel,Cad,Tcp
10,通信事业部经理,通信,9000.0,光谷技术股份公司,武汉,5.0,本科,、为公司拓展通信领域业务、合作伙伴发展、业务经营的策略执行；2、根据公司整体市场策略，以合作伙伴为核心的运作模式操作项目；3、在所在区域内建立完整的合作伙伴网络，重点项目上报公司领导协助跟进，整合资源实现个人销售目标；4、收集、整理和分析所在行业竞争对手的相关信息；5、根据公司的要求，完成月/季/年度营销目标计划；6、与客户建立良好关系，及时反馈客户信息，满足客户需求，提高客户满意度，维护老客户的业务，挖掘客户的最大潜力；7、制定项目操作方案并实施；8、完成领导交办的其他工作。任职要求：1、本科及以上学历，机电、楼宇智能化相关专业优先；2、5年以上IT渠道分销经验或系统集成商行业产品销售工作经验，并具有一定的客户资源；3、熟悉熟悉通信市场业务；4、具有一定的市场开发能力、团队合作精神，较好的沟通与协调能力；5、适应出差，富有拼搏精神。,0.0,0.0,0.0,0.0,0.0,0.0
11,交通信用卡中心客户经理J组,通信,7000.0,交通银行信用卡中心,大连,0.0,大专,岗位描述1.大专及以上学历；2.具有销售、市场营销、营销策划、有工作经验者优先；3.吃苦耐劳，有较强的事业心，积极乐观，抗压能力强，完成任务；4.形象气质佳，具备良好的沟通协调能力，能独立分析和解决问题的能力；一、薪酬底薪+业绩奖金+综合业务奖励（平均月收入6000-12000元）二、保险福利1.社会保险及公积金为员工缴纳养老保险、医疗、工伤、生育、失业保险以及住房公积金。2.补充商业保险为员工购买商业保险，享受更多的医疗保障，门诊医疗也可报销。三、健康体检福利为员工提供每两年一次价值约800元的体检服务。四、培训福利员工可享受免费专业的入职培训、业务培训、进阶培训、管理培训、E-learning等。五、与卡中心共成长、边工作边学习、工作休闲两不误福利1.员工于10月25日（含）入职满1年可享受1000元成长金。入职满5年可享受5000元成长金；2.员工于3月31日（含）入职满1年可享受1000元学习金。3.员工于12月31日（含）入职满1年可享受500元休闲金。入职满5年可享受2500元休闲金。六、工会生日慰问、节日慰问福利七、夏日清凉 福利八、独生子女托费福利九、行服福利员工均可免费获得单位统一量身定做的行服。包含西装、长袖衬衫、短袖衬衫，冲锋衣、皮鞋、围巾、大衣等联系人：张主任 15040526675工作地址：大连市沙河口区太原街175号一1新星淘乐汇（新星星海）,0.0,0.0,0.0,0.0,0.0,0.0
12,华为统一通信（UC）/视频会议（VC）产品售前工程师,通信,,联强国际,上海,0.0,大专,岗位职责：负责售前技术支持：产品配置、方案设计、产品测试、产品演示、技术交流等。负责投标支持：完成投标文件的编写、应答、述标、澄清等。负责与华为厂商销售人员和技术人员建立良好的工作关系，确保项目顺畅运行。跟踪当前主流产品的新技术及时提升技术水平，获得相关资质认证。收集并汇总项目信息配合销售及时跟进。任职要求1、1年以上UC/VC产品的售前工作经验。2、大专以上学历，计算机应用、信息通信类、网络技术相关专业。3、具备Huawei、Polycom、Avaya等主流品牌的售前或售后认证者优先考虑。,0.0,0.0,0.0,0.0,0.0,0.0
13,业务代表 （通信方向）五险双休待遇好,通信,5500.0,陕西达成信息科技有限公司,西安,1.0,本科,陕西达成信息科技有限公司是具有独立法人资格的有限责任公司，是一家综合性的科技型企业和通讯工程及系统集成为主业的高科技企业，具有较为雄厚的通信管线工程设计、施工及集成技术实力。我公司主要承担连接至公用通信网的用户管道、通信线路、综合布线及配套设备的设计、施工，同时提供各类大、中、小型企业局域网解决方案。 本公司遵循质量至上、用户至上的原则，以优良的品质和专业的技术，服务于电信运营商、政府、大中型企业，拥有一支专门从事通讯及计算机网络工程的专业技术队伍，这只队伍在通信建设、政府及企业网络建设、系统集成及融合通信系统建设、智能楼宇综合布线系统工程、安防监控系统建设等方面具有丰富的经验，有能力为用户提供完善的整体解决方案，并提供设计、施工、技术服务的全方位服务。销售助理要求：1、本科或以上学历，计算机、通讯等相关专业，28岁以下，男女不限。2、工作严谨，执行力强，有较强抗压能力，良好沟通能力及团队合作精神。整理客户资料，日常维护公司的客情关系，第一时间向上级领导传递客户需求，并在指导下处理相关业务。3、沟通能力：能够把握别人的态度、兴趣、观点和行为方式等，善于制造机会、积极地去了解他人；客户服务导向：关注客户，与客户保持沟通，主动跟踪、了解客户的问题、要求等，按照相应规定或规范，友好地为客户提供服务；4、  日常拜访客户及综合协调日常行政事务并完成销售主管临时交办的其他任务。5、维护公司微信公众号，熟练运用OFFICE办公软件。优秀学生干部优先；熟悉联通、电信等运营商者优先。薪资构架：底薪+提成+工龄工资岗位要求：热爱销售 积极主动,0.0,0.0,0.0,0.0,0.0,0.0
14,通信技术工程师（成都）,通信,7500.0,杭州金硕信息技术有限公司,成都,0.0,本科,工作地点：成都要求：1、计算机软件或网络技术相关专业毕业。在工作中（应届生在实习中）曾经使用linux系统、以及基于微服务构架的系统；  熟悉分布式计算机系统，并在工作中曾经使用以下工具者优先： ELK日志系统、Docker、openstack（或者在云虚机上部署、监控应用软件的各种工具）;2、熟悉linux系统或oracle数据库；3、熟悉通信网络或有通信工程实施经验；4、具有较强的协调、组织和监督能力。5、有1年以上工作经验，或移动、电信、联通相关的工程实施经验者优先。6、应届生可先安排实习。主要工作内容：负责省会所在地工程项目的安装、实施、维护。具体包括：1、软硬件安装调试与到货验收相关手续办理；2、系统的日常维护，提供报表并定期汇报；3、系统应用：告警分析案例排查；4、需求交流与管理；5、配合相关商务工作。,0.0,1.0,0.0,0.0,0.0,0.0
15,通信监理工程师,通信,7000.0,重庆赛迪工程咨询有限公司江苏分公司,南京,0.0,大专,岗位职责：1、接受领导的安排，负责装饰装修专业监理工作的具体实施。2、负责编制装饰装修工程监理实施细则。3、指导、检查和监督装饰装修专业监理员的工作。4、审查承包单位提交的本专业的计划、方案、申请、变更，会同监理组向总监理工程师提出报告，并检查执行情况。5、熟悉合同条款、技术报告和设计图纸。6、检查承包人的质量自检系统及其运转情况。7、严格进行现场监理。8、处理项目上其他的突发项目。9、领导交代的其他事情。任职要求：1、信号、铁路信号、轨道交通信号工程、综合监控相关专业2、2年以上工作经验；应届毕业生也可。,0.0,0.0,0.0,0.0,0.0,0.0
16,通信信号检测员3500五险一金双休,通信,5250.0,沈阳文迅科技有限公司,沈阳,0.0,大专,"★任职要求：1、大专以上学历，计算机/软件/通信/电子等计算机或理工科相关专业优先考虑；2、具有独立分析问题和解决问题的能力，工作认真、踏实，责任心强；3、大三/应届生/经验不足者 可通过实习培养后上岗,实习可签三方协议;★岗位职责：1、移动信号的质量测试；2、质量控制，设备调测及开通，站点验收配合；3、参与客户端的测试工作；4、在项目经理指导下，按照需求进行软件或测试工作★福利待遇：1、富有竞争力的薪酬和其他福利津贴；2、双休制和健全的五险一金；3、给予完善的绩效考核，年终奖金，项目奖金及定期调薪；4、完善的培养体系和晋升机制；",0.0,0.0,0.0,0.0,0.0,0.0
17,通信运营商商务经理（业务岗）,通信,9000.0,深圳市通网技术股份有限公司,深圳,3.0,大专,、大专及以上学历，市场营销等相关专业，2年以上销售岗位工作经验；2、有通信运营商（移动，电信）相关从业背景为佳；3、具备专业的市场营销、商务谈判知识；4、能独立完成商务谈判。岗位职责：负责运营商谈判签约工作，包括：1、负责运营商关系建立和维护；2、负责运营商客户签约；3、负责运营商政策信息收集、梳理；4、负责所开发项目的跟踪，及项目后续滚动开发工作。职能类别：										商务经理									,0.0,0.0,0.0,0.0,0.0,0.0
18,资深专利代理人（通信类）,通信,15000.0,武汉市捷诚信通知识产权代理有限公司,武汉,1.0,本科,工作内容：国内专利申请文件撰写、答复审查意见撰写、复审、无效请求撰写；专利检索、专利导航、专利预警、为客户提供咨询意见任职资格：1、全日制本科及以上学历，专业要求：信息与通信工程、电子科学与工程、微电子、计算机科学与技术、光信息科学与技术；2、具备扎实的专业知识及较强的写作、逻辑分析、沟通表达等能力；3、具备良好的英语听说读写能力者优先录用；4、熟练使用VISIO；5、有相关经验者优先考虑。福利待遇：7.5小时工作制、六险一金、全勤奖金、午餐补助、带薪法定假日、节日福利、定期体检、员工活动、员工旅游、带薪年假、专业培训、不定期调薪、年终奖金薪资构成：基本工资+岗位工资+绩效奖金+全勤奖金+餐补晋升渠道 实习专利工程师——专利工程师/专利代理人——资深专利工程师/资深专利代理人——主管——经理——副总/总监——股东/合伙人,0.0,0.0,0.0,0.0,0.0,0.0
19,通信销售,通信,3750.0,中账科技股份有限公司,广州,1.0,高中,"岗位职责：1、负责公司产品的销售及推广；2、根据计划，完成部门销售指标；3、开拓新市场,发展新客户,增加产品销售范围；4、负责销售区域内销售活动的策划和执行，完成销售任务；5、管理维护客户关系以及客户间的长期战略合作计划。任职资格：1、高中及以上学历，市场营销等相关专业；2、1-2年以上销售行业工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；工作时间：朝九晚六",0.0,0.0,0.0,0.0,0.0,0.0
20,急聘/统计学/医学/会计/经济/通信写手,通信,17500.0,湖北天恒文化传媒有限公司,武汉,0.0,无,"本公司招聘各个领域的写作人才，涵盖各个专业：商科、金融、数学、市场营销、法律、文学、经济、会计、政治、物流、计算机科学、数据基础、编程、信息系统、电子商务、人力资源、旅游、公司治理、物流管理、供应链管理、法律、管理业务管理、国际贸易等。一、任职要求：1.学历要求：目前仅接受国内研究生及以上（条件优秀的本科生亦可），及优秀的海外大学留学生。2.专业要求范围：商科、管理、金融、工商管理、数学、人力、市场营销、法律、文学、经济、会计、政治、物流、计算机、教育、国贸、统计、 MBA等。要是你会数据分析类、如PYTHON、EVIEWS，SPSS，STATA，MATLAB等将是本公司着重培养人才！薪资将会比普通专业的更加丰厚！3.态度要求：热爱写作,诚信负责，工作积极配合。具备良好的职业道德，具有充足的写作时间。为什么选择我们？本公司不限工作时间、不限工作地点、工作灵活，接tasks后，只要能在规定时间完成即可！工资丰厚！所有的工作地点和时间均由你自己安排，任务由你选择接与不接，推荐给你的单接或不接不影响下一次接单，工资结算在稿件截稿日之日完成。欢迎加入我们公司，希望广大贤士能来共创事业！",0.0,0.0,0.0,0.0,0.0,0.0
21,通信技术工程师,通信,5250.0,四川瑞信创科技有限公司,娄底,1.0,大专,娄底常驻支撑：负责娄底政企售前支撑工作，有ICT项目经验，主要工作包括独立商机跟进，技术支撑，标书支撑工作；,0.0,0.0,0.0,0.0,0.0,0.0
22,专利代理助理（电子/通信/自动化）,通信,5250.0,沈阳科苑专利商标代理有限公司,沈阳,1.0,本科,沈阳科苑专利商标代理有限公司（原中国科学院沈阳专利事务所）是从事专利商标代理及相关法律事务代理的中介机构，国家指定的涉外代理机构。因事业发展需要，现拟择优招聘：1、在专利代理人的指导下撰写专利申请文件、答复审查意见；2、其他知识产权相关事务。职位要求：1、本科以上学历，电子、通信、自动化等相关理工科专业；2、一年以上工作经验；3、对专利代理行业有一定了解，愿意长期从事专利代理行业；4、英语4级以上；5、具备较强的学习能力和沟通能力；有专利代理行业工作经验，或同时有专利代理人资格、知识产权贯标、科研单位技术工作经验、英语精通者优先考虑。以上人员工作待遇：周六周日休息，按国家法定节假日正常放假； 公司同时为员工提供带薪年假、各种学习培训及午餐补助等福利措施，采用底薪+提成方式；签定正式劳动合同，提供五险。 与本公司联系时请注明求职职位，感谢您的关注，请充分了解专利代理人这个职业，并愿意投入到这个行业中，再发简历，如合适将通知您面试，谢谢！电 话：024-23983375中文网址：,0.0,0.0,0.0,0.0,0.0,0.0
23,光通信工程师,通信,20833.33,南京英田光学工程股份有限公司,南京,3.0,本科,"岗位职责：1、负责自由空间激光通信终端的光收发模块研制；2、研发应用于自由空间激光通信的相干探测技术；3、负责自由空间激光通信中的光信号编码调制解码模块的技术设计及工程实施；4、负责开展自由空间激光通信实验；5、负责企业内部技术资料、规程资料、方案的整理和保管，并做好保密工作；6、完成上级领导交办的其他任务。 7、自觉遵守公司各项规章制度，维护公司形象及利益，严格遵守与公司签订的保密协议。任职资格：1、本科或本科以上学历；2、熟练掌握光通信中的编码,调制,解码等理论知识以及收发模块的设计与制造；3、熟悉各类光通信测试设备4、不少于2年光通信技术(光纤通信或者自由空间激光通信)工程经验；5、具有自由空间激光通信工程经验者优先考虑；6、英文文献资料阅读能力良好；                        7、有较好的与人沟通能力和团结协作精神。工作环境及福利1、一经录用签订正式合同，交纳五险一金；2、上班时间：周一至周五08:00——16:30，周末双休；3、法定节假日正常休假（五一、端午休3天、国庆7天）；4、入职即可提供住宿，4-5人间，上床下桌、空调、热水器、独立卫生间；5、年度定期体检、节假日福利、年终奖；6、相对舒适的工作环境。组织与个人发展1、上市公司，新三版已成功挂牌，股票代码：836787；2、公司在光学方向有着雄厚的研发、设计和生产制造实力，承接了大量在本行业内的高、精、尖光学设计加工任务，本岗位能够提供丰富工作经验，岗位发展前景广阔；3、公司根据个人表现提供晋升和培训机会；4、核心价值观：能够奋斗。公司简介南京英田光学工程股份有限公司（股票代码836787）是以精密仪器总体与光学系统设计为龙头，集精密光学加工、机械、电子、计算机技术一体化的高新技术企业。公司是由博士生导师、教授、高级工程师、高级技师、中初级工程技术人员和专业特种技工组成的一支精诚合作，勇于进取的企业团队。专业涵盖光学、精密机械结构设计、电子控制、计算机技术等几大领域。工作地址栖霞区甘家边东108号金港科创园7栋",0.0,0.0,0.0,0.0,0.0,0.0
24,无线通信算法工程师,通信,11500.0,西安征途网络科技有限公司,西安,3.0,硕士,岗位职责：1、负责无线数字通信算法设计、仿真与FPGA实现和验证 ；2、指导协助FPGA工程师完成相关FPGA算法实现；3、与其他部门共同合作完成项目开发，并独立撰写技术文档；4、 参与公司产品项目的分析论证，提出系统性能提升的可行性方案，并实现由算法仿真到FPGA实现的定点化过程；5、依据项目需求负责执行公司产品相关的通信系统与算法的预研工作，搭建通信系统与仿真，设计系统通信实现方案。任职要求：1、硕士以上学历，3-5年相关工作经验；2、具备扎实的通信原理、通信信号处理和移动通信理论知识，具有较强的软件无线电系统设计与分析判断能力；3、 熟悉软件无线电技术体系架构和软硬件设计流程，具备丰富的产品或项目实际开发经验；4、熟练使用MATLAB/SIMULINK等仿真工具软件进行通信信号处理算法设计与仿真，搭建无线通信仿真系统；5、熟悉基于FPGA的通信物理层算法开发实现流程，可以独立完成FPGA算法、接口、状态机等开发调试；6、熟悉软件无线电平台常用芯片及软硬件调试方法；7、良好的技术文件撰写能力和解决问题的突击能力；8、良好的沟通能力与组织能力、敬业精神和团队合作精神。公司办公注重沟通，工作高效；团队积极向上；重视人才；个人发展空间极大；航天大厦办公环境优越；为伙伴们准备果汁茶叶等员工福利；团建活动让我们认识生活中不一样的可爱同事们...... 欢迎加入征途科技，可将简历发送至邮箱或电话联系我们！,0.0,0.0,0.0,0.0,0.0,0.0
25,通信工程师-卫星通信系统,通信,22500.0,亚太卫星宽带通信（深圳）有限公司,深圳,3.0,硕士,公司通信系统规划与优化，并协助建立卫星通信网络服务等级体系；2.实施重大操作，开展项目规划与方案交流；3.分析运营数据，并优化系统方案并检查实施结果；4.做好厂家、运维团队的技术接口，规范流程，将工作任务传递、分解、监控、汇总；5.负责终端业务开通服务，配合现场人员完成端站设备安装和入网调试；6.独立处理复杂的卫星通信系统故障，做好重要客户的现场保障；7.运营并维护卫星通信系统设备，开展售后运维服务，能够处理常见的地面告警；8、编写相关项目文档，良好完成工作任务。任职资格：1、硕士及以上学历，通信工程专业；2、3年及以上通信系统运维工作经验；3、精通各厂商通信系统，熟悉卫星通信子系统，如射频系统、卫星测控系统等；4、掌握基本的网络知识，英语可作为工作语言；5、有国内大型通信公司工作经验优先考虑。6、能独立进行卫星通信链路预算的计算，具备空间网络的设计、组网、运维等经验优先考虑。,0.0,0.0,0.0,0.0,0.0,0.0
26,通信技术员,通信,3500.0,广东海格怡创科技有限公司,成都,0.0,中专,岗位职责：（1）通信设备的日常维护及故障分析处理、巡检；（2）各类文档的数据整理、分析；（3）配合所在地区项目完成其他日常工作。任职资格：（1）通信、电子、计算机、自动化等相关专业；（2）熟悉计算机及网络知识，能熟练操作OFFICE办公软件；（3）具备良好的工作心态及强烈的工作责任心；（4）能吃苦耐劳并能承受一定工作压力。工作地点：成都市,0.0,0.0,0.0,0.0,0.0,0.0
27,5g移动通信实习工程师（包住，五险）,通信,6000.0,安徽钊泽信息科技有限公司,合肥,0.0,大专,一、岗位职责：（1）主要负责移动、联通、电信三大运营商的3G、4G和5G网络优化工作；（2）日常工作主要是对通信软件和仪器设备的熟练使用，不涉及体力劳动；（3）具体工作内容：用户投诉处理、道路测试与分析、网络KPI指标优化与提升， 优化报告的输出、明星演唱会、重大活动及节假日的网络保障等。二、任职资格：（1）专业不限，计算机、信息工程、通信工程等专业优先；（2）年满18-35周岁，大专及以上学历，年龄不符合者勿扰；优秀者破格录取；（3）前期能适应省外出差，后期可以稳定下来，不再出差；不能接受出差者勿扰；（4）需要自带笔记本电脑，能简单操作。三、作待遇：（1）上班时间：朝九晚五、双休、享受国家法定节假日；（2）提供住宿，报销来回车旅费；（3）签订劳动合同，提供五险一金；（4）初级4000-6000，中级7000-10000，高级15000以上。四、个人发展空间：（1）技术通道：初级-中级-高级工程师；（2）管理通道：项目经理助理-项目经理-区域总经理；五、温馨提示：可以直接投递简历，人事看到会***时间联系您！,0.0,0.0,0.0,0.0,0.0,0.0
28,卫星通信研发专家,通信,30000.0,四川伯乐帮科技有限公司,成都,5.0,硕士,、负责卫星通信系统及设备产品规划、发展方向论证；2、负责航电卫星通信系统相关标准、规范框架设计、制定及发布；3、负责航空卫星通信系统总体方案设计及集成，包括体系架构、设备总体及接口、工作流程、逻辑、交互机制设计，系统集成、测试、验证、确认4、负责航空卫星机械设备适航及运营管理。5、负责航空卫星机械设备适航及运营管理任职条件：1、具备8年以上卫星通信领域工作经验，主持过卫星通信系统相关领域的重大项目；2、具备机载卫星通信设备及天线研发经验、具备航空卫星通信系统集成及测试经验，获得过省部级以上科技成果奖者、具备卫星通信相关专利及论文成果者优先；3、熟悉航空电子系统工程、体系架构、设备研发、软件研发相关技术；对SAE、ARP4754A、DO-178C.DO-254、DO-160标准等研发流程及管理，熟练用机载卫星通信系统研发及集成经验优先,1.0,0.0,0.0,0.0,0.0,0.0
29,急聘通信工程施工人员,通信,5250.0,广州市弘帆通信科技有限公司,广州,2.0,大专,、负责施工放线、综合布线，会熔纤，听从负责人安排，有施工证/电工证优先考虑；2、按图纸施工，确保进度、质量、人员安全；3、监督劳务层按规范施工，确保安全生产，文明施工。全面合理、有效实施方案，保持施工现场安全有效；4、提出保证施工、安全、质量的措施并组织实施；5、督促施工材料、设备按时进场，并处于合格状态，确保工程顺利进行。6.（工作地点南沙黄阁，非诚勿扰！）,0.0,0.0,0.0,0.0,0.0,0.0
30,市场经理（通信增值类）,通信,11500.0,广东欧一控股有限公司,广州,3.0,大专,、 负责公司的市场经营目标的实现与完成；3、 负责市场客户关系维护，宣树公司形象、开展市场公关活动，统筹市场的运营；4、 负责各平台的推广、引流策划的规划，充分利用新媒体平台进行品牌宣传；5、 规划和拓展有效的市场渠道。任职资格：1、 大学专科以上学历，市场营销、传媒等相关专业优先；2、 三年及以上市场运营及品牌推广经验；3、 具备较强的市场意识；4、 富有亲和力，能够承受较大的工作压力；5、 具有较高的职业素养及团队合作精神，擅于沟通。福利待遇：1、充满竞争力的薪酬；2、双休、广州CBD上班；3、90后为主的年轻化的办公氛围，丰富多彩的文娱活动：欧一狼人杀大赛，欧一好声音歌唱比赛、欧一运动会等等；4、节日礼品：员工生日精美礼品及节日party；5、年度旅游：每年2次国内/外集体旅游；6、新员工培训，产品及企业文化培训等完善的企业内部培训系统。职能类别：										市场企划经理/主管																			市场/营销/拓展经理									关键字：市场经理市场策划经理市场企划经理营销策划经理市场主管营销策划主管AI企业短信融合通讯通信增值服务,0.0,0.0,0.0,0.0,0.0,0.0
