,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Pcb,C,Protel,Ic,Qc,Arm
10,开关电源电子工程师,电子/半导体,12500.0,南京酷科电子科技有限公司,南京,2.0,本科,"工作职责：1.设计与研发适配器开关电源产品；2.协调解决项目开发中的相关问题，保证项目开发进度；3.与公司其他部门沟通交流，确保项目研发的顺利进行；4.完成直接领导交办的其他工作。 任职要求：1.电力电子类或相关专业，专业基础扎实；2.精通各类开关电源拓扑，尤其Flyback,BUCK,Boost,Buck-Boost等。3.熟悉各类电子元器件及其特性；4.喜欢思考，爱学习，有较强的发现问题、分析问题和解决问题的能力；5.优秀的团队精神和沟通协调能力，工作勤奋、积极进取、吃苦耐劳、服从工作调配。福利：五险一金，节日惊喜，部门聚餐，年底奖金",0.0,0.0,0.0,0.0,0.0,0.0
11,电子设计工程师,电子/半导体,14000.0,西蒙电气（中国）有限公司,上海,5.0,本科,工作职责:1.参与智能家居系统的策划，技术方案选型；2.负责智能设备硬件方案确定与开发，测试工作，协助完成底层驱动软件编写；3.负责中控液晶屏类产品硬件方案确定与开发工作；4.完成样机制作、性能测试、工艺改进工作；5.完成标准化文件归档工作，支持完成产品认证工作；6.负责市场技术支持工作、提供产品应用技术参考，根据项目功能需求，实施项目配置方案；7.配合技术服务部门完成返修产品的故障分析报告，并针对产品缺陷持续改进；8.加强EHS意识，严格遵守操作规程；9.在部门内部及部门之间进行有效通畅的沟通和团队合作；10.根据公司业务需求或部门工作要求，及时准确地完成上级交待的各项任务，包括接受公司安排去其他部门或其他岗位的调动。任职资格:1.电子通讯、自动化等相关专业本科及以上学历2.从事智能网关、路由器、智能产品电子电路设计5年以上工作经验；3.熟悉中控液晶屏，PAD设备、温控器开发，有智能家居等相关行业工作经验优先；4.熟悉相关行业标准和国家标准，了解行业现状和前景；5.精通高速数字电路设计，熟练掌握Cortex 32位处理器、以太网、路由器、PAD电路设计、PCB Layout，6.熟悉ST、Microchip、NXP等主流处理器；7.熟悉WiFi、ZigBee、Bluetooth电路设计，熟悉Silicon、TI、Qualcomm、MTK等主流射频芯片原理和结构； 8.熟练使用Altium  Designer进行电路原理图、PCB Layout设计；9.熟悉智能产品安规标准和性能要求，熟练使用各种测试仪器；10.扎实的的模拟电路、数字电路设计和应用经验，熟练掌握各种电子元器件特性；11.熟悉电子产品可靠性设计，对电子元器件特性、失效机理有深刻的认识；12.了解C/C++编程语言，能够开发单元模块驱动软件；13.熟悉电子产品制造工艺，有DFM经验优先考虑；14.诚信正直，坚韧，责任感强；15.具有较强的分析问题、解决问题的能力；16.良好的团队沟通协调能力及项目推动能力，优秀的团队合作精神。,1.0,1.0,0.0,0.0,0.0,0.0
12,电子厂/诚聘普工+无需经验,电子/半导体,5250.0,广州湘煌企业管理服务有限公司,东莞,0.0,初中及以下,【免费招聘，不收费用】现阶段招聘量大；请直接电话联系招聘部詹专员：13824442261咨询报名。欢迎24小时短信报名：姓名+年龄+普工，已带行李的，当天优先安排宿舍。-------------------------------------------------------------------------------------------------------------本工厂急大量招聘：小时工、正式工、可接受应届生等；主要招聘岗位：组装、检测、配件包装等简单易学无需经验，以长白班为主，工作轻松简单，生熟手均可，生手进厂后有老员工带，新厂晋升机会大。当天应聘人员需：【带齐行李物品+身份证】当天下午安排宿舍。-------------------------------------------------------------------------------------------------------------小时工待遇1、小时工月综合收入：4800-6500元【按岗位区分】2、小时工：15~22元/小时【长白班】3、月工时：240-300个【工时】4、现在是旺季订单充足，加班比较多，平均一天9~12小时5、小时工最短需做满15天就有工资，辞工需提前3天，当场结算6、小时工综合工资取决于你加班工时长，小时工自由加班，不限制加班-------------------------------------------------------------------------------------------------------------正式工待遇1、正式工月综合：税后5300-6800元；每月准时发工资2、底薪1800~2600元，加班费按劳务法算，平时1.5倍，周末2倍，节假日3倍【5天8小时之外算加班】平均每天加班2-3小时，不限制加班3、岗位津贴100-300元；绩效奖100~200元；全勤奖；伙食补贴；外宿补贴；生日礼金等-------------------------------------------------------------------------------------------------------------招聘要求1、男女不限16-45岁2、有本人二代身份证，在有效期内，有磁性3、无刑事犯罪前科4、身体健康5、没有大面积纹身-------------------------------------------------------------------------------------------------------------免费食宿【包吃住】1、饭堂有粤菜，湘菜，川菜；小食有水饺，馒头，面包等；持厂牌即可刷卡就餐2、免费提供住宿4-6人/间，房间大3、宿舍配备WiFi，独立卫生间，洗衣机，热水器，空调等用品-------------------------------------------------------------------------------------------------------------工作内容现岗位主要生产最新上市的电子产品主要职位如：组装检查包装，插件品质检测，物料开机等-------------------------------------------------------------------------------------------------------------车间环境1、车间配有：饮水机，休息间，卫生间，中央空调(冬暖夏凉)2、坐班较多，穿普通工衣，长白班为主3、上班氛围好，人性化管理4、上厕所不管控(15分钟内能回来，不需请假，不是流水线的，完成工作可提前下班)-------------------------------------------------------------------------------------------------------------为节约时间录入你的资料，请电话联系招聘部詹专员：13824442261咨询报名。欢迎24小时短信报名：姓名+年龄+普工，已带行李的，当天优先安排宿舍。职能类别：										组装工																			普工/操作工									关键字：吃苦耐劳沟通能力强团队合作执行力强学习力强责任心强,0.0,0.0,0.0,0.0,0.0,0.0
13,电子厂/五险一金/轻松/6000+/,电子/半导体,7000.0,广州文岛企业管理咨询有限公司,广州,0.0,初中及以下,一、招工要求1、男女不限，16岁一45岁2、有本人二代身份证，在有效期内、有磁性3、无刑事犯罪前科、身体健康、没有大面积纹身4、无需工作经验、生手熟手均可、生手进厂后有老员工带当天应聘人员需带齐行李物品+身份证件、当天安排厂内住宿-二：小时工待遇1、小时工：16-18（元）/小时2、每月有：280-300个工时3、小时工收入：5000-5800元左右4、现在是旺季.加班比较多.平均一天上10-12小时左右。5、小时工：最短做满7天就有工资、辞工只需提前7天、当场结算工资、小时工可以选择短期或者长期做、6、小时工综合工资的高低取决于个人加班时数的多少、小时工加班自由、不限制加班-三、正式工待遇1、正式工：4800-5800左右2、每个月15号准时发工资，不压工资3、底薪2130（元）、加班费按劳动法算，平时加班1.5倍、周末加班2倍，节假日3倍（5天8小时之外算加班），平均每天加班2至3小时。4、每月有：岗位津贴150元-300元，绩效奖200元-400元、全勤奖等等。-四、免费食宿1、饭堂：有米饭、粤菜、湘菜、川菜、窗口。小食有水饺、馒头、面包、鸡蛋、吃饱为止，持厂牌即可刷卡就餐2、免费提供住宿、4一6人一间，房间大3、宿舍配备WIFI、独立卫生间、洗澡间、空调、学习桌、热水器等用品。-五：工作内容工厂岗位生产最新上市电子产品的组装、检测、包装、插件、品质、测试、物料、等岗位，无需经验，有人教你-六：车间环境1、车间配有：饮水机，休息间2、车间配有中央空调（冬暖夏凉）3、都是坐着上班，穿的是普通工衣4、上班气氛好、管理宽松、车间在上班时间、会播放轻音乐七：入职流程***天（面试——安排住宿），第二天（报到——入职——发放厂牌）。有意向可联系 林小姐 181717,0.0,0.0,0.0,0.0,0.0,0.0
14,外贸业务员/IC 电子元器件,电子/半导体,12500.0,香港佰润电子有限公司,深圳,0.0,中专,"如果你是一个有梦想的人，那么我们和你一起去追梦,如果你很想证明自己，那么我们将为你提供一切舞台，如果你想要好好的充实自己，那么我们将会和你在一起努力和奋斗，梦想是要有的，只要努力就可以实现，没有万一，******** 来了，我们就是自己人！********职位要求：1、国际贸易以及英语相关专业，熟练英语听、说、读、写2、通过网络进行渠道开发和业务拓展，熟悉阿里巴巴 ,熟悉操作B2B,有操作网络平台工作经验优先3、对询盘进行邮件回复处理，电话或者即时通工具跟进客户，争取订单，完成销售任务，争取好的销售业绩4、对电子元器件有浓厚的兴趣，有IC或电子元器件销售经验5、为人踏实，能够吃苦耐劳，有上进心，有一定的处理问题变化能力，完成上级交给的其它事务性工作及相关业务工作汇报；工作时间:周一至周五：上午9：30~12:30； 下午1:30~6:30周末双休薪酬待遇：1、待遇：底薪+提成+季度奖+年度奖，提供职位竞争机制2、底薪：有经验5K-10K,每年1-2次加薪，依个人能力而定，提成可按照业绩幅度提升3、公司享受下午茶文化，不定时聚餐工作地点： 工作地点：深圳市福田区中航路鼎诚国际大厦（华强北天虹楼上）；联系方式：联系人:叶先生电话: 13510965855公司主页: www.barumelectronics.com地铁：蛇口线(华强北)---鼎城国际大厦(天虹楼上)罗宝线(华强路)---鼎城国际大厦(天虹楼上)公交 : 只要到华强北的公交都可以",0.0,0.0,0.0,1.0,0.0,0.0
15,电子厂旺季急招普工+当天住宿,电子/半导体,5250.0,上海宛硕电子科技有限公司,上海,0.0,初中及以下,"郑重声明《厂区招聘，绝无任何费用！请求职者谨慎以免上当受骗》由于报名人数过多，您的简历可能无法及时回复，给您造成的不便请您谅解！可直接编辑姓名+身份证号码+面试日期至13774216934，收到信息后工作人员会***时间与您沟通！因厂内订单需求，现面向全国大量招聘:招聘岗位；普工，技工，QC,质检，物料员等多岗位！短信报名方式：姓名+性别+身份证号码至13774216934，报名成功后会有公司招聘客服及时跟你联系！声明：公司招聘无任何费用。在我处报名后，请勿在其他地方报名，以免系统冲突无法安排面试。公司承诺新员工入职考勤打卡满55天有3000----5000不等奖金，详情致电客服！(工资是工资，奖金是奖金，两者不冲突)一、招聘条件1、年龄要求18-40周岁2、认真学习、遵守企业规章制度，可尽快融入企业氛围；3、持有效身份证件(须为二代身份证原件，只有户籍证明或复印件不可以参加招聘)。二、薪资待遇薪资结构:基本工资+生产奖金+久任奖金+加班费=4600-6000元1、基本工资：2550元2、生产奖金：300-500每月由单位主管根据个人绩效表现评定发放3、久任奖金300-500到职一个月后加350元;4、加班费：(平时加班1.5倍/周末加班2倍/国定假日3倍)平时加班：20.95元/小时（1.5倍）周末加班：27.93元/小时（2.0倍)法定假日：41.9元/小时（3.0倍）5、夜班津贴9元/天6、年终奖金——每年春节前按当年度工作绩效及整体贡献发放年终奖：2000—5000综合工资的高低取决于加班时数的多少，一般综合工资在,4600-6000元左右。三、福利待遇1、保险：公司依法为公司员工缴纳上海五险一金；2、休假：员工依法享受国家法定节假日、婚假、丧假、产假、带薪年休假等；3、贴心的福利：生日礼券、结婚礼金、生育津贴等；4、年度各项公司大型活动及丰富多样的社团活动：晚会、运动会、球类比赛、艺文表演；5、各项便利设施：室内篮(羽)球场、网吧、图书馆、韵律教室、便利商店、邮局、各式美食餐厅等。四、伙食住宿1、生活区内设有大型员工餐厅，可满足多样化的用餐需求；2、公司为员工提供宿舍，园区外及园区内宿舍皆采取小区式管理，配备宿舍管理员及安保。3、所有宿舍均提供独立的冷暖空调，无线网等，二十四小时供应洗浴热水及饮用水。五、工作时间1、正常工作时间：每天8小时，每周5天；2、加班时间：平时每日加班不超过3小时，每周至少休息1天；3、公司执行白晚班两班制。六、入职流程由驻厂老师带队前往公司面试报到——录取信息——分发宿舍并放置行李——制作识别卡——新人培训——分发厂服及部门——部门岗前培训——正式上岗",0.0,0.0,0.0,0.0,1.0,0.0
16,电子销售工程师,电子/半导体,7000.0,深圳市鑫泓科技有限公司,深圳,0.0,高中,位职责：1、通过公司提供的全国终端生产工厂的资料或自己搜集的资料并进行电话或网络沟通，维护老客户，开发新客户，寻找新的机会点；2、通过电话或用网络，传真等方式加深了解， 寻找销售机会并完成销售业绩；3、具有较强的维护老客户的业务，挖掘客户的发展潜力；4、定期与合作客户进行沟通，建立良好的长期合作关系。5.  对放出去的货款进行对帐，回收帐款之工作。任职资格：1、18-38岁，普通话流利，口音清晰，最重要对自己有自信，对公司有自信。2、对销售工作有很高的热情；3、具备较强的学习能力和优秀的沟通能力；4、性格坚韧，思维敏捷，具备良好的应变能力和抗压能力；5. 假期安排：大小周，分别5.5天和5天制。上班时间上午9:00-12:30  下午13：30-18:00其他假期全部统一按国家法定假日，享有社保五险及签署正式的劳动合同。福利待遇：优秀员工国际国内不定期旅游 ，每月不定期举行自动餐厅聚餐活动，水果点心等食品作为工作下午茶。,0.0,0.0,0.0,0.0,0.0,0.0
17,高级电子工程师,电子/半导体,22500.0,中山欧科电子有限公司,中山,0.0,无,岗位职责 1. 负责专业音频产品设计2. 负责原理图和PCB设计3. 负责指导助理工程师分析解决技术问题4. 负责调试电路及EMC整改任职资格1． 电路基础知识扎实2． 五年以上以上音响产品设计经验3． 熟悉开关电源及D类功放设计4． 深入掌握EMC以及安规相关标准,1.0,0.0,0.0,0.0,0.0,0.0
18,工程部电子工程师,电子/半导体,5500.0,苏州嵩瑞洋电子有限公司,苏州,0.0,无,性别不限，年龄25-35岁。全日制本科以上学历。电子科学与技术专业，电气工程及其自动化专业。两年以上相关工作经验，熟练使用AUTOCAD，PROTEL绘图软件；掌握电子工程专业必备的基本知识；熟悉模拟电路数字电路工作原理；掌握各种电子、通讯设备的使用和维护；PLC和单片机熟练编程和线路设计。有从事非标设备线路设计经验者优先。有良好的团队精神及沟通协,0.0,0.0,1.0,0.0,0.0,0.0
19,电子销售工程师,电子/半导体,6000.0,上海钰良电子科技有限公司,上海,0.0,无,、专科以上学历，良好英文读写，应用电子/电子工程技术等相关专业毕业优先考虑。2、年龄22-35周岁，男女不限。3、接触过或者了解半导体产品种类的应届生优先考虑。4、热爱半导体销售行业善于与人沟通，善于维护与开发客户关系，适应不定期出差。5、协助公司销售走访重要客户、收集市场信息（例如：产品宣讲会，推介会等）。6、具备协调能力以及开拓创新能力，注重团队合作意识，能承担压力，积极完成各项销售目标及市场推广目标。7、有强烈的责任心和持之以恒的毅力优先考虑。8、愿意去深圳打拼奋斗的有志气青年深圳公司优先考虑（上海总公司先接受培训）。9、会日语或者毕业于电子或通信专业优先考虑。,0.0,0.0,0.0,0.0,0.0,0.0
20,网络销售员/电子商务专员,电子/半导体,7500.0,深圳市赛矽电子有限公司,深圳,1.0,大专,岗位职责：1.大专以上学历，一年以上相同岗位工作经验，男女不限，经验能力优秀者学历要求可适当调整  2.有一年以上阿里巴巴、淘宝、IC电子元器件推广运营经验  3.熟悉IC电子元器件店铺运营推广的各项事务4.热爱电子商务行业，具有钻研能力，爱学习、爱分享、爱挑战  5.有专项能力擅长者优先（如直通车、钻展、淘宝、阿里巴巴数据分析等）任职要求： 1.独立负责企业旗下淘宝、阿里巴巴店铺的运营及推广  2.熟悉数据分析，能够据此进行类目、竞品及自己店铺的调研分析并制定相应营销方案  3.能够利用各种推广手段和淘宝各类营销工具，达成店铺预定营运目标  4.店铺营运策略的制定及实时调整，营销活动的策划及跟进实施、总结评估等  5.店铺运营的风险管理及对应的解决方案  6.与其他岗位同事通力合作，达成店铺运营目标,0.0,0.0,0.0,1.0,0.0,0.0
21,电子工程师,电子/半导体,7000.0,广州敏视数码科技有限公司,广州,0.0,大专,岗位职责：2、负责公司新产品导入以及批量订单的技术问题评估、分析、改善；3、对产线内基层干部、技术员进行电子电路培训工作；4、对客户要求的产品进行制造的可行性评估、功能确认；5、熟悉电子产品安规要求（FCC、CE等）、新产品开发和导入流程。 岗位要求：1、有电子厂硬件工程师开发工作经验，大专以上学历，通信或电子相关专业毕业；2、熟悉试用各种测试仪器（示波器、扫频仪等），掌握各类电子元件电路中的应用；3、思维活跃、思路清晰、严谨的工作习惯；4、善于协调沟通、团队合作；能抵抗压力，责任心强；5、优秀者可放宽学历要求。职能类别：										电子工程师/技术员									,0.0,0.0,0.0,0.0,0.0,0.0
22,电子工程师,电子/半导体,9000.0,南京五石金传感技术有限公司,南京,2.0,本科,职位要求：本科电子专业以上，3年以上相关工作经验，具有以下技能：1、具有相关电子产品硬件设计（Altium Designer 09）及软件开发能力；2、熟悉RS485、RS232、CAN等工业通讯接口及对应通讯协议；3、熟悉PIC、AVR、STM32等单片机并能用单片机开发产品；4、熟悉PCB设计及加工工艺，能独立完成电路的设计、调试、测试工作；5、能准确流畅的进行电子实验、编写实验报告和实验分析报告；6、能综合利用软硬件工具（仿真器、示波器等）诊断及解决故障；7、思维活跃，沟通、协调能力佳，善于发现问题和解决问题；8、工作积极主动，责任感强，有较强的团队协作能力，乐观开朗。职能类别：										电子技术研发工程师									关键字：软件硬件,1.0,0.0,0.0,0.0,0.0,0.0
23,电子元器件销售工程师,电子/半导体,8000.0,深圳市创胜达电子有限公司,深圳,1.0,大专,"						1、诚实、自信、待人热情、有强烈的进取心、有较强的沟通能力和说服能力，亲和力强，善于学习, 团队合作精神。2、负责公司代理的晶震，MOS管，电源管理IC，电容、电阻、电感等产品的市场开拓、对上述产品的市场及发展趋势有较强的洞察力、分析力，并能完成销售指标。3、协助公司市场开发及推广工作，包括新客户开发、产品推广、营销计划、客户综合解决方案等。4、有良好的优质目标客户群定位，寻找与开发能力, 较强的客户服务意识和维护客户能力，维护及增进已有客户关系，对潜在客户需求有挖掘和延伸的能力。5、能够与公司內各部门紧密配合，及时满足客户的各项合理需求。负责产品销售，客户信息的收集及分析，完成销售指标并确保货款按时回收。																		",0.0,0.0,0.0,1.0,0.0,0.0
